Timestamp,Activity
01/11/2006 16:49:42,queued
11/07/2006 11:00:36,accepted
11/07/2006 14:05:44,accepted
03/20/2007 10:06:25,accepted
05/10/2007 16:21:54,accepted
07/25/2007 14:21:05,accepted
05/07/2008 18:58:51,accepted
06/04/2008 12:02:18,accepted
10/06/2008 16:44:37,accepted
11/13/2008 10:43:32,accepted
11/13/2008 12:01:04,accepted
06/25/2009 09:47:52,accepted
08/11/2009 08:44:51,accepted
08/11/2009 08:55:12,queued
08/11/2009 12:01:25,accepted
09/07/2009 14:33:24,accepted
09/14/2009 11:37:50,unmatched
09/16/2009 22:42:12,queued
09/18/2009 12:50:02,accepted
09/21/2009 14:13:43,accepted
09/22/2009 14:22:05,accepted
09/22/2009 14:25:17,accepted
09/23/2009 11:52:27,accepted
09/28/2009 11:26:19,accepted
09/28/2009 11:26:30,accepted
10/14/2009 18:12:54,accepted
10/26/2009 15:47:10,accepted
10/27/2009 10:42:40,accepted
10/27/2009 10:42:49,accepted
10/27/2009 10:57:26,unmatched
10/30/2009 14:49:04,accepted
10/30/2009 14:57:13,accepted
11/04/2009 09:07:28,accepted
11/09/2009 17:38:14,queued
11/12/2009 14:41:27,accepted
11/17/2009 15:07:38,unmatched
11/24/2009 10:41:50,accepted
11/24/2009 10:44:43,accepted
11/30/2009 11:45:01,queued
12/02/2009 15:24:31,accepted
12/02/2009 15:24:32,accepted
12/02/2009 15:24:32,accepted
12/02/2009 15:24:33,accepted
12/02/2009 15:24:34,accepted
12/02/2009 15:24:34,accepted
12/02/2009 15:24:35,accepted
12/02/2009 15:24:37,accepted
12/04/2009 13:10:14,unmatched
12/14/2009 15:29:17,accepted
12/16/2009 13:59:24,accepted
12/16/2009 21:47:26,accepted
12/22/2009 10:09:31,accepted
12/22/2009 10:25:22,unmatched
12/22/2009 11:56:03,accepted
01/04/2010 10:00:17,accepted
01/05/2010 17:42:20,accepted
01/14/2010 11:34:54,accepted
01/14/2010 16:02:21,accepted
01/15/2010 16:10:22,queued
01/21/2010 17:42:26,accepted
01/25/2010 08:44:36,accepted
01/25/2010 10:19:08,accepted
01/27/2010 11:43:29,accepted
01/27/2010 14:58:09,accepted
02/02/2010 16:50:20,accepted
02/03/2010 10:34:32,accepted
02/03/2010 10:45:18,queued
02/03/2010 11:20:05,accepted
02/03/2010 11:40:51,accepted
02/03/2010 11:40:58,accepted
02/05/2010 11:00:12,accepted
02/08/2010 12:41:12,accepted
02/12/2010 15:00:54,queued
02/12/2010 15:01:08,accepted
02/15/2010 08:41:51,accepted
02/15/2010 08:48:52,accepted
02/15/2010 10:33:11,accepted
02/15/2010 10:34:41,accepted
02/15/2010 13:10:30,accepted
02/16/2010 12:03:41,accepted
02/16/2010 12:04:37,accepted
02/22/2010 09:33:08,accepted
02/23/2010 14:10:59,accepted
02/23/2010 14:13:19,accepted
02/26/2010 14:39:44,accepted
02/26/2010 14:45:58,queued
02/26/2010 19:04:51,accepted
02/26/2010 19:08:30,accepted
02/26/2010 19:09:05,accepted
02/26/2010 19:09:42,accepted
02/26/2010 19:11:57,accepted
02/26/2010 19:12:06,accepted
03/01/2010 07:54:12,accepted
03/01/2010 08:04:33,queued
03/01/2010 12:53:51,accepted
03/01/2010 13:00:54,accepted
03/02/2010 12:41:18,accepted
03/02/2010 14:43:43,queued
03/02/2010 14:43:50,queued
03/02/2010 14:44:01,queued
03/02/2010 14:44:22,queued
03/02/2010 14:44:26,accepted
03/02/2010 14:45:25,accepted
03/02/2010 14:45:37,accepted
03/02/2010 14:46:10,accepted
03/02/2010 14:46:18,accepted
03/02/2010 14:46:47,accepted
03/02/2010 14:46:58,accepted
03/02/2010 14:59:28,accepted
03/02/2010 15:01:04,queued
03/02/2010 15:07:11,accepted
03/02/2010 15:07:48,accepted
03/02/2010 15:11:18,accepted
03/03/2010 09:04:11,accepted
03/03/2010 16:51:55,accepted
03/03/2010 16:52:18,accepted
03/03/2010 16:54:09,accepted
03/03/2010 16:54:25,accepted
03/03/2010 20:25:03,accepted
03/08/2010 10:17:56,accepted
03/08/2010 10:19:32,accepted
03/09/2010 12:28:51,accepted
03/11/2010 11:02:02,accepted
03/11/2010 15:06:34,accepted
03/11/2010 15:10:10,accepted
03/11/2010 15:12:19,queued
03/11/2010 15:12:35,accepted
03/11/2010 15:12:46,queued
03/11/2010 15:13:02,accepted
03/11/2010 16:44:02,unmatched
03/12/2010 16:55:50,accepted
03/14/2010 14:40:26,accepted
03/14/2010 14:40:36,unmatched
03/15/2010 15:40:16,accepted
03/16/2010 09:44:27,accepted
03/17/2010 17:36:20,accepted
03/18/2010 12:44:05,accepted
03/26/2010 09:24:05,accepted
03/26/2010 15:03:21,accepted
03/26/2010 15:05:35,accepted
03/26/2010 15:05:48,queued
03/29/2010 11:38:31,accepted
03/29/2010 11:41:32,queued
03/29/2010 13:30:54,accepted
03/29/2010 13:30:58,accepted
03/30/2010 18:13:33,accepted
03/31/2010 11:41:00,accepted
03/31/2010 11:43:06,queued
03/31/2010 11:43:07,accepted
03/31/2010 11:46:20,accepted
04/01/2010 09:13:49,accepted
04/01/2010 14:48:30,accepted
04/01/2010 14:49:59,accepted
04/01/2010 14:50:40,queued
04/01/2010 19:20:02,accepted
04/01/2010 19:20:07,accepted
04/06/2010 09:16:15,accepted
04/06/2010 10:12:22,accepted
04/06/2010 15:35:51,accepted
04/07/2010 08:30:28,unmatched
04/08/2010 12:07:36,accepted
04/08/2010 12:09:05,queued
04/08/2010 12:09:22,queued
04/08/2010 12:11:51,queued
04/08/2010 19:33:49,accepted
04/08/2010 19:33:54,accepted
04/12/2010 10:05:58,accepted
04/12/2010 10:10:24,accepted
04/12/2010 19:14:40,accepted
04/12/2010 21:37:25,accepted
04/12/2010 21:47:56,queued
04/13/2010 09:38:30,accepted
04/13/2010 09:44:30,queued
04/13/2010 14:37:07,accepted
04/13/2010 14:50:15,accepted
04/13/2010 14:56:39,accepted
04/13/2010 14:56:44,accepted
04/13/2010 14:59:01,accepted
04/13/2010 14:59:07,accepted
04/14/2010 11:27:54,accepted
04/14/2010 11:47:49,queued
04/14/2010 11:47:50,accepted
04/14/2010 11:54:25,queued
04/14/2010 15:53:38,accepted
04/14/2010 19:58:53,accepted
04/14/2010 20:09:15,accepted
04/15/2010 16:32:45,accepted
04/16/2010 18:34:49,accepted
04/16/2010 18:42:36,queued
04/17/2010 01:40:43,accepted
04/17/2010 01:42:50,accepted
04/19/2010 11:07:37,accepted
04/19/2010 11:08:20,queued
04/19/2010 16:59:00,accepted
04/19/2010 16:59:17,accepted
04/19/2010 16:59:58,accepted
04/19/2010 17:00:10,accepted
04/20/2010 15:25:52,accepted
04/20/2010 15:29:35,queued
04/20/2010 17:03:14,accepted
04/20/2010 17:03:18,accepted
04/22/2010 15:51:56,accepted
04/22/2010 16:08:11,queued
04/22/2010 20:19:48,accepted
04/22/2010 20:23:29,accepted
04/26/2010 16:41:03,accepted
04/26/2010 16:44:34,queued
04/26/2010 20:08:15,accepted
04/26/2010 20:12:24,accepted
04/27/2010 16:40:49,accepted
04/27/2010 16:43:59,accepted
04/28/2010 10:07:00,queued
04/28/2010 10:35:20,accepted
04/28/2010 10:40:07,unmatched
04/29/2010 09:23:20,accepted
04/29/2010 09:23:56,queued
04/29/2010 14:58:57,accepted
04/29/2010 15:01:26,queued
04/29/2010 15:15:14,accepted
04/29/2010 15:18:16,accepted
04/29/2010 15:20:48,accepted
04/29/2010 15:22:02,accepted
05/04/2010 14:28:29,accepted
05/04/2010 18:15:44,accepted
05/04/2010 18:23:17,queued
05/04/2010 18:24:58,accepted
05/04/2010 18:27:46,accepted
05/05/2010 10:21:02,accepted
05/05/2010 13:44:03,accepted
05/05/2010 14:24:34,queued
05/05/2010 16:09:25,accepted
05/05/2010 16:09:30,accepted
05/06/2010 14:02:51,accepted
05/06/2010 17:36:41,accepted
05/06/2010 18:05:00,unmatched
05/10/2010 13:38:28,accepted
05/10/2010 13:41:26,queued
05/10/2010 14:01:38,accepted
05/10/2010 14:07:54,queued
05/10/2010 20:31:40,accepted
05/10/2010 20:36:20,accepted
05/10/2010 20:36:38,accepted
05/10/2010 20:41:50,accepted
05/11/2010 15:11:58,accepted
05/11/2010 15:13:34,queued
05/11/2010 21:18:30,accepted
05/11/2010 21:25:17,accepted
05/12/2010 09:01:33,accepted
05/12/2010 09:03:39,accepted
05/12/2010 09:03:44,accepted
05/12/2010 09:05:09,queued
05/12/2010 12:59:40,accepted
05/12/2010 13:02:27,queued
05/12/2010 21:04:00,accepted
05/12/2010 21:04:07,accepted
05/12/2010 21:04:54,accepted
05/12/2010 21:06:49,accepted
05/13/2010 12:56:33,accepted
05/13/2010 13:05:42,queued
05/14/2010 01:43:08,accepted
05/14/2010 01:50:11,accepted
05/14/2010 08:03:29,accepted
05/14/2010 08:05:48,queued
05/14/2010 10:04:31,accepted
05/14/2010 10:11:11,queued
05/14/2010 13:18:59,accepted
05/14/2010 13:19:05,accepted
05/14/2010 13:23:06,accepted
05/14/2010 13:23:10,accepted
05/18/2010 12:35:53,queued
05/19/2010 11:58:36,accepted
05/20/2010 12:55:23,accepted
05/20/2010 13:43:22,queued
05/21/2010 00:57:03,accepted
05/21/2010 00:58:48,accepted
05/21/2010 11:28:29,queued
05/21/2010 11:30:53,accepted
05/21/2010 12:07:49,queued
05/21/2010 17:00:21,queued
05/24/2010 14:32:13,accepted
05/24/2010 14:44:34,queued
05/24/2010 15:45:23,queued
05/24/2010 17:04:58,accepted
05/24/2010 17:28:06,accepted
05/24/2010 17:30:59,queued
05/25/2010 03:27:35,accepted
05/25/2010 03:30:17,accepted
05/25/2010 03:30:49,accepted
05/25/2010 03:33:22,accepted
05/25/2010 12:42:48,accepted
05/25/2010 12:49:29,accepted
05/25/2010 13:27:54,accepted
05/25/2010 13:32:07,queued
05/25/2010 13:55:40,accepted
05/25/2010 13:55:45,accepted
05/25/2010 14:17:44,accepted
05/28/2010 10:41:08,accepted
06/01/2010 12:19:11,accepted
06/01/2010 12:34:03,queued
06/01/2010 17:19:00,accepted
06/01/2010 17:19:04,accepted
06/02/2010 09:21:51,accepted
06/02/2010 09:29:29,queued
06/02/2010 12:37:06,accepted
06/02/2010 12:37:11,accepted
06/02/2010 15:14:09,accepted
06/02/2010 15:16:27,queued
06/02/2010 15:35:15,accepted
06/02/2010 15:35:21,accepted
06/04/2010 17:57:53,accepted
06/04/2010 17:58:40,queued
06/04/2010 17:59:45,queued
06/04/2010 18:08:12,accepted
06/04/2010 18:08:18,accepted
06/08/2010 15:20:08,accepted
06/08/2010 15:24:21,queued
06/09/2010 11:45:16,accepted
06/09/2010 11:58:40,queued
06/09/2010 15:43:31,accepted
06/09/2010 20:01:33,accepted
06/09/2010 20:01:38,accepted
06/10/2010 10:51:43,accepted
