Timestamp,Activity
11/28/2016 21:30:00,a
11/28/2016 21:31:00,d
11/28/2016 21:31:00,a
11/28/2016 21:32:00,a
11/28/2016 21:32:00,b
11/28/2016 21:32:00,d
11/28/2016 21:32:00,a
11/28/2016 21:32:00,a
11/28/2016 21:33:00,d
11/28/2016 21:33:00,e
11/28/2016 21:33:00,b
11/28/2016 21:33:00,d
11/28/2016 21:33:00,d
11/28/2016 21:33:00,a
11/28/2016 21:34:00,b
11/28/2016 21:34:00,d
11/28/2016 21:34:00,b
11/28/2016 21:34:00,b
11/28/2016 21:34:00,d
11/28/2016 21:35:00,e
11/28/2016 21:35:00,b
11/28/2016 21:35:00,a
11/28/2016 21:35:00,c
11/28/2016 21:35:00,a
11/28/2016 21:35:00,e
11/28/2016 21:35:00,e
11/28/2016 21:35:00,b
11/28/2016 21:36:00,a
11/28/2016 21:36:00,a
11/28/2016 21:36:00,d
11/28/2016 21:36:00,a
11/28/2016 21:36:00,e
11/28/2016 21:36:00,d
11/28/2016 21:36:00,g
11/28/2016 21:36:00,d
11/28/2016 21:36:00,d
11/28/2016 21:36:00,d
11/28/2016 21:36:00,e
11/28/2016 21:37:00,d
11/28/2016 21:37:00,d
11/28/2016 21:37:00,b
11/28/2016 21:37:00,d
11/28/2016 21:37:00,d
11/28/2016 21:37:00,b
11/28/2016 21:37:00,h
11/28/2016 21:37:00,b
11/28/2016 21:37:00,b
11/28/2016 21:37:00,b
11/28/2016 21:37:00,d
11/28/2016 21:38:00,b
11/28/2016 21:38:00,b
11/28/2016 21:38:00,e
11/28/2016 21:38:00,b
11/28/2016 21:38:00,b
11/28/2016 21:38:00,e
11/28/2016 21:38:00,e
11/28/2016 21:38:00,e
11/28/2016 21:38:00,b
11/28/2016 21:39:00,a
11/28/2016 21:39:00,e
11/28/2016 21:39:00,a
11/28/2016 21:39:00,d
11/28/2016 21:39:00,e
11/28/2016 21:39:00,a
11/28/2016 21:39:00,d
11/28/2016 21:39:00,c
11/28/2016 21:39:00,d
11/28/2016 21:39:00,d
11/28/2016 21:40:00,d
11/28/2016 21:40:00,f
11/28/2016 21:40:00,d
11/28/2016 21:40:00,d
11/28/2016 21:40:00,b
11/28/2016 21:40:00,d
11/28/2016 21:40:00,a
11/28/2016 21:40:00,d
11/28/2016 21:40:00,f
11/28/2016 21:40:00,b
11/28/2016 21:40:00,g
11/28/2016 21:40:00,b
11/28/2016 21:40:00,b
11/28/2016 21:40:00,f
11/28/2016 21:41:00,b
11/28/2016 21:41:00,h
11/28/2016 21:41:00,b
11/28/2016 21:41:00,b
11/28/2016 21:41:00,e
11/28/2016 21:41:00,b
11/28/2016 21:41:00,d
11/28/2016 21:41:00,b
11/28/2016 21:41:00,h
11/28/2016 21:41:00,h
11/28/2016 21:41:00,e
11/28/2016 21:41:00,e
11/28/2016 21:41:00,h
11/28/2016 21:42:00,e
11/28/2016 21:42:00,d
11/28/2016 21:42:00,e
11/28/2016 21:42:00,b
11/28/2016 21:42:00,f
11/28/2016 21:42:00,d
11/28/2016 21:42:00,d
11/28/2016 21:43:00,d
11/28/2016 21:43:00,f
11/28/2016 21:43:00,f
11/28/2016 21:43:00,b
11/28/2016 21:43:00,d
11/28/2016 21:43:00,f
11/28/2016 21:43:00,h
11/28/2016 21:43:00,b
11/28/2016 21:43:00,b
11/28/2016 21:44:00,b
11/28/2016 21:44:00,h
11/28/2016 21:44:00,h
11/28/2016 21:44:00,b
11/28/2016 21:44:00,c
11/28/2016 21:44:00,h
11/28/2016 21:44:00,e
11/28/2016 21:45:00,c
11/28/2016 21:45:00,g
11/28/2016 21:45:00,d
11/28/2016 21:45:00,f
11/28/2016 21:46:00,c
11/28/2016 21:46:00,a
11/28/2016 21:46:00,g
11/28/2016 21:46:00,f
11/28/2016 21:46:00,h
11/28/2016 21:46:00,a
11/28/2016 21:46:00,b
11/28/2016 21:46:00,h
11/28/2016 21:47:00,g
11/28/2016 21:47:00,d
11/28/2016 21:47:00,a
11/28/2016 21:47:00,h
11/28/2016 21:47:00,h
11/28/2016 21:47:00,d
11/28/2016 21:47:00,a
11/28/2016 21:47:00,e
11/28/2016 21:48:00,h
11/28/2016 21:48:00,b
