TS,Activity,EventID
11/28/2016 21:30:00,a,1
11/28/2016 21:31:00,d,2
11/28/2016 21:31:00,a,3
11/28/2016 21:32:00,a,4
11/28/2016 21:32:00,b,5
11/28/2016 21:32:00,d,6
11/28/2016 21:32:00,a,7
11/28/2016 21:32:00,a,8
11/28/2016 21:33:00,d,9
11/28/2016 21:33:00,e,10
11/28/2016 21:33:00,b,11
11/28/2016 21:33:00,d,12
11/28/2016 21:33:00,d,13
11/28/2016 21:33:00,a,14
11/28/2016 21:34:00,b,15
11/28/2016 21:34:00,d,16
11/28/2016 21:34:00,b,17
11/28/2016 21:34:00,b,18
11/28/2016 21:34:00,d,19
11/28/2016 21:35:00,e,20
11/28/2016 21:35:00,b,21
11/28/2016 21:35:00,a,22
11/28/2016 21:35:00,c,23
11/28/2016 21:35:00,a,24
11/28/2016 21:35:00,e,25
11/28/2016 21:35:00,e,26
11/28/2016 21:35:00,b,27
11/28/2016 21:36:00,a,28
11/28/2016 21:36:00,a,29
11/28/2016 21:36:00,d,30
11/28/2016 21:36:00,a,31
11/28/2016 21:36:00,e,32
11/28/2016 21:36:00,d,33
11/28/2016 21:36:00,g,34
11/28/2016 21:36:00,d,35
11/28/2016 21:36:00,d,36
11/28/2016 21:36:00,d,37
11/28/2016 21:36:00,e,38
11/28/2016 21:37:00,d,39
11/28/2016 21:37:00,d,40
11/28/2016 21:37:00,b,41
11/28/2016 21:37:00,d,42
11/28/2016 21:37:00,d,43
11/28/2016 21:37:00,b,44
11/28/2016 21:37:00,h,45
11/28/2016 21:37:00,b,46
11/28/2016 21:37:00,b,47
11/28/2016 21:37:00,b,48
11/28/2016 21:37:00,d,49
11/28/2016 21:38:00,b,50
11/28/2016 21:38:00,b,51
11/28/2016 21:38:00,e,52
11/28/2016 21:38:00,b,53
11/28/2016 21:38:00,b,54
11/28/2016 21:38:00,e,55
11/28/2016 21:38:00,e,56
11/28/2016 21:38:00,e,57
11/28/2016 21:38:00,b,58
11/28/2016 21:39:00,a,59
11/28/2016 21:39:00,e,60
11/28/2016 21:39:00,a,61
11/28/2016 21:39:00,d,62
11/28/2016 21:39:00,e,63
11/28/2016 21:39:00,a,64
11/28/2016 21:39:00,d,65
11/28/2016 21:39:00,c,66
11/28/2016 21:39:00,d,67
11/28/2016 21:39:00,d,68
11/28/2016 21:40:00,d,69
11/28/2016 21:40:00,f,70
11/28/2016 21:40:00,d,71
11/28/2016 21:40:00,d,72
11/28/2016 21:40:00,b,73
11/28/2016 21:40:00,d,74
11/28/2016 21:40:00,a,75
11/28/2016 21:40:00,d,76
11/28/2016 21:40:00,f,77
11/28/2016 21:40:00,b,78
11/28/2016 21:40:00,g,79
11/28/2016 21:40:00,b,80
11/28/2016 21:40:00,b,81
11/28/2016 21:40:00,f,82
11/28/2016 21:41:00,b,83
11/28/2016 21:41:00,h,84
11/28/2016 21:41:00,b,85
11/28/2016 21:41:00,b,86
11/28/2016 21:41:00,e,87
11/28/2016 21:41:00,b,88
11/28/2016 21:41:00,d,89
11/28/2016 21:41:00,b,90
11/28/2016 21:41:00,h,91
11/28/2016 21:41:00,h,92
11/28/2016 21:41:00,e,93
11/28/2016 21:41:00,e,94
11/28/2016 21:41:00,h,95
11/28/2016 21:42:00,e,96
11/28/2016 21:42:00,d,97
11/28/2016 21:42:00,e,98
11/28/2016 21:42:00,b,99
11/28/2016 21:42:00,f,100
11/28/2016 21:42:00,d,101
11/28/2016 21:42:00,d,102
11/28/2016 21:43:00,d,103
11/28/2016 21:43:00,f,104
11/28/2016 21:43:00,f,105
11/28/2016 21:43:00,b,106
11/28/2016 21:43:00,d,107
11/28/2016 21:43:00,f,108
11/28/2016 21:43:00,h,109
11/28/2016 21:43:00,b,110
11/28/2016 21:43:00,b,111
11/28/2016 21:44:00,b,112
11/28/2016 21:44:00,h,113
11/28/2016 21:44:00,h,114
11/28/2016 21:44:00,b,115
11/28/2016 21:44:00,c,116
11/28/2016 21:44:00,h,117
11/28/2016 21:44:00,e,118
11/28/2016 21:45:00,c,119
11/28/2016 21:45:00,g,120
11/28/2016 21:45:00,d,121
11/28/2016 21:45:00,f,122
11/28/2016 21:46:00,c,123
11/28/2016 21:46:00,a,124
11/28/2016 21:46:00,g,125
11/28/2016 21:46:00,f,126
11/28/2016 21:46:00,h,127
11/28/2016 21:46:00,a,128
11/28/2016 21:46:00,b,129
11/28/2016 21:46:00,h,130
11/28/2016 21:47:00,g,131
11/28/2016 21:47:00,d,132
11/28/2016 21:47:00,a,133
11/28/2016 21:47:00,h,134
11/28/2016 21:47:00,h,135
11/28/2016 21:47:00,d,136
11/28/2016 21:47:00,a,137
11/28/2016 21:47:00,e,138
11/28/2016 21:48:00,h,139
11/28/2016 21:48:00,b,140
11/28/2016 21:48:00,a,141
11/28/2016 21:48:00,d,142
11/28/2016 21:48:00,b,143
11/28/2016 21:48:00,d,144
11/28/2016 21:48:00,d,145
11/28/2016 21:49:00,a,146
11/28/2016 21:49:00,a,147
11/28/2016 21:49:00,e,148
11/28/2016 21:49:00,d,149
11/28/2016 21:49:00,b,150
11/28/2016 21:49:00,a,151
11/28/2016 21:49:00,b,152
11/28/2016 21:49:00,b,153
11/28/2016 21:50:00,d,154
11/28/2016 21:50:00,d,155
11/28/2016 21:50:00,d,156
11/28/2016 21:50:00,b,157
11/28/2016 21:50:00,e,158
11/28/2016 21:50:00,d,159
11/28/2016 21:50:00,c,160
11/28/2016 21:50:00,e,161
11/28/2016 21:50:00,a,162
11/28/2016 21:51:00,b,163
11/28/2016 21:51:00,b,164
11/28/2016 21:51:00,b,165
11/28/2016 21:51:00,d,166
11/28/2016 21:51:00,b,167
11/28/2016 21:51:00,g,168
11/28/2016 21:51:00,f,169
11/28/2016 21:51:00,d,170
11/28/2016 21:51:00,d,171
11/28/2016 21:52:00,e,172
11/28/2016 21:52:00,e,173
11/28/2016 21:52:00,f,174
11/28/2016 21:52:00,b,175
11/28/2016 21:52:00,h,176
11/28/2016 21:52:00,h,177
11/28/2016 21:52:00,b,178
11/28/2016 21:52:00,b,179
11/28/2016 21:53:00,d,180
11/28/2016 21:53:00,d,181
11/28/2016 21:53:00,f,182
11/28/2016 21:53:00,h,183
11/28/2016 21:53:00,c,184
11/28/2016 21:54:00,b,185
11/28/2016 21:54:00,b,186
11/28/2016 21:54:00,h,187
11/28/2016 21:54:00,c,188
11/28/2016 21:54:00,g,189
11/28/2016 21:54:00,c,190
11/28/2016 21:54:00,c,191
11/28/2016 21:55:00,a,192
11/28/2016 21:55:00,g,193
11/28/2016 21:55:00,h,194
11/28/2016 21:55:00,g,195
11/28/2016 21:55:00,g,196
11/28/2016 21:56:00,c,197
11/28/2016 21:56:00,f,198
11/28/2016 21:56:00,d,199
11/28/2016 21:56:00,h,200
11/28/2016 21:56:00,h,201
11/28/2016 21:56:00,h,202
11/28/2016 21:57:00,g,203
11/28/2016 21:57:00,h,204
11/28/2016 21:57:00,b,205
11/28/2016 21:57:00,a,206
11/28/2016 21:57:00,a,207
11/28/2016 21:58:00,h,208
11/28/2016 21:58:00,e,209
11/28/2016 21:58:00,d,210
11/28/2016 21:58:00,d,211
11/28/2016 21:59:00,d,212
11/28/2016 21:59:00,b,213
11/28/2016 21:59:00,b,214
11/28/2016 21:59:00,a,215
11/28/2016 22:00:00,b,216
11/28/2016 22:00:00,e,217
11/28/2016 22:00:00,d,218
11/28/2016 22:00:00,a,219
11/28/2016 22:01:00,e,220
11/28/2016 22:01:00,a,221
11/28/2016 22:01:00,c,222
11/28/2016 22:01:00,d,223
11/28/2016 22:01:00,b,224
11/28/2016 22:01:00,d,225
11/28/2016 22:01:00,a,226
11/28/2016 22:02:00,d,227
11/28/2016 22:02:00,d,228
11/28/2016 22:02:00,g,229
11/28/2016 22:02:00,b,230
11/28/2016 22:02:00,a,231
11/28/2016 22:02:00,a,232
11/28/2016 22:02:00,b,233
11/28/2016 22:02:00,d,234
11/28/2016 22:03:00,b,235
11/28/2016 22:03:00,b,236
11/28/2016 22:03:00,h,237
11/28/2016 22:03:00,f,238
11/28/2016 22:03:00,d,239
11/28/2016 22:03:00,d,240
11/28/2016 22:03:00,b,241
11/28/2016 22:04:00,e,242
11/28/2016 22:04:00,f,243
11/28/2016 22:04:00,h,244
11/28/2016 22:04:00,b,245
11/28/2016 22:04:00,a,246
11/28/2016 22:04:00,b,247
11/28/2016 22:04:00,f,248
11/28/2016 22:05:00,d,249
11/28/2016 22:05:00,c,250
11/28/2016 22:05:00,h,251
11/28/2016 22:05:00,d,252
11/28/2016 22:05:00,h,253
11/28/2016 22:05:00,c,254
11/28/2016 22:06:00,b,255
11/28/2016 22:06:00,g,256
11/28/2016 22:06:00,f,257
11/28/2016 22:06:00,b,258
11/28/2016 22:06:00,c,259
11/28/2016 22:06:00,a,260
11/28/2016 22:06:00,g,261
11/28/2016 22:07:00,e,262
11/28/2016 22:07:00,h,263
11/28/2016 22:07:00,h,264
11/28/2016 22:07:00,e,265
11/28/2016 22:07:00,g,266
11/28/2016 22:07:00,d,267
11/28/2016 22:07:00,h,268
11/28/2016 22:08:00,d,269
11/28/2016 22:08:00,d,270
11/28/2016 22:08:00,h,271
11/28/2016 22:08:00,b,272
11/28/2016 22:09:00,b,273
11/28/2016 22:09:00,a,274
11/28/2016 22:09:00,b,275
11/28/2016 22:09:00,e,276
11/28/2016 22:10:00,d,277
11/28/2016 22:10:00,d,278
11/28/2016 22:11:00,c,279
11/28/2016 22:11:00,b,280
11/28/2016 22:11:00,f,281
11/28/2016 22:11:00,a,282
11/28/2016 22:11:00,b,283
11/28/2016 22:12:00,g,284
11/28/2016 22:12:00,a,285
11/28/2016 22:12:00,a,286
11/28/2016 22:12:00,h,287
11/28/2016 22:12:00,d,288
