Timestamp,Activity,EventID
10/02/2010 09:20:00,confirmation of receipt,1
10/02/2010 09:21:00,t02 check confirmation of receipt,2
10/02/2010 09:31:00,t03 adjust confirmation of receipt,3
10/02/2010 09:31:00,t02 check confirmation of receipt,4
10/02/2010 09:32:00,t03 adjust confirmation of receipt,5
10/05/2010 08:32:00,confirmation of receipt,6
10/05/2010 08:42:00,t06 determine necessity of stop advice,7
10/05/2010 09:31:00,t02 check confirmation of receipt,8
10/05/2010 09:32:00,t07-1 draft intern advice aspect 1,9
10/05/2010 09:39:00,t06 determine necessity of stop advice,10
10/05/2010 09:40:00,t10 determine necessity to stop indication,11
10/05/2010 10:44:00,t04 determine confirmation of receipt,12
10/05/2010 13:01:00,confirmation of receipt,13
10/05/2010 13:07:00,t06 determine necessity of stop advice,14
10/05/2010 13:08:00,t10 determine necessity to stop indication,15
10/05/2010 15:03:00,t02 check confirmation of receipt,16
10/05/2010 15:16:00,t05 print and send confirmation of receipt,17
10/05/2010 15:22:00,t03 adjust confirmation of receipt,18
10/05/2010 15:26:00,t02 check confirmation of receipt,19
10/06/2010 09:12:00,t04 determine confirmation of receipt,20
10/07/2010 15:16:00,t05 print and send confirmation of receipt,21
10/18/2010 09:24:00,confirmation of receipt,22
10/18/2010 10:45:00,t06 determine necessity of stop advice,23
10/18/2010 11:25:00,t02 check confirmation of receipt,24
10/18/2010 12:27:00,t03 adjust confirmation of receipt,25
10/20/2010 12:18:00,t02 check confirmation of receipt,26
10/20/2010 12:56:00,confirmation of receipt,27
10/20/2010 12:57:00,t02 check confirmation of receipt,28
10/20/2010 12:58:00,t04 determine confirmation of receipt,29
10/20/2010 12:59:00,t05 print and send confirmation of receipt,30
10/20/2010 13:02:00,t06 determine necessity of stop advice,31
10/21/2010 08:14:00,t07-5 draft intern advice aspect 5,32
10/21/2010 08:36:00,t06 determine necessity of stop advice,33
10/21/2010 08:37:00,t10 determine necessity to stop indication,34
10/21/2010 09:23:00,t03 adjust confirmation of receipt,35
10/21/2010 11:40:00,t02 check confirmation of receipt,36
10/21/2010 11:47:00,t03 adjust confirmation of receipt,37
10/21/2010 11:50:00,t02 check confirmation of receipt,38
10/22/2010 09:57:00,confirmation of receipt,39
10/22/2010 09:57:00,t02 check confirmation of receipt,40
10/22/2010 09:58:00,t04 determine confirmation of receipt,41
10/22/2010 09:58:00,t05 print and send confirmation of receipt,42
10/22/2010 09:59:00,t06 determine necessity of stop advice,43
10/22/2010 09:59:00,t10 determine necessity to stop indication,44
10/22/2010 11:17:00,confirmation of receipt,45
10/22/2010 11:23:00,t06 determine necessity of stop advice,46
10/22/2010 11:23:00,t02 check confirmation of receipt,47
10/22/2010 11:24:00,t04 determine confirmation of receipt,48
10/22/2010 11:30:00,t10 determine necessity to stop indication,49
10/22/2010 11:34:00,t05 print and send confirmation of receipt,50
10/22/2010 13:21:00,t04 determine confirmation of receipt,51
10/25/2010 11:52:00,t05 print and send confirmation of receipt,52
10/25/2010 15:57:00,confirmation of receipt,53
10/25/2010 16:13:00,t06 determine necessity of stop advice,54
10/26/2010 09:18:00,confirmation of receipt,55
10/26/2010 09:38:00,t07-5 draft intern advice aspect 5,56
10/26/2010 09:39:00,t07-1 draft intern advice aspect 1,57
10/26/2010 09:41:00,t08 draft and send request for advice,58
10/26/2010 09:42:00,t09-1 process or receive external advice from party 1,59
10/26/2010 09:45:00,confirmation of receipt,60
10/26/2010 10:47:00,confirmation of receipt,61
10/26/2010 11:03:00,confirmation of receipt,62
10/26/2010 12:23:00,t06 determine necessity of stop advice,63
10/26/2010 12:27:00,t10 determine necessity to stop indication,64
10/26/2010 15:28:00,confirmation of receipt,65
10/26/2010 15:51:00,t02 check confirmation of receipt,66
10/26/2010 15:51:00,t02 check confirmation of receipt,67
10/26/2010 15:52:00,t02 check confirmation of receipt,68
10/26/2010 15:52:00,t02 check confirmation of receipt,69
10/27/2010 08:59:00,confirmation of receipt,70
10/27/2010 09:04:00,t06 determine necessity of stop advice,71
10/27/2010 09:20:00,t07-3 draft intern advice hold for aspect 3,72
10/27/2010 09:27:00,confirmation of receipt,73
10/28/2010 11:44:00,t04 determine confirmation of receipt,74
10/28/2010 11:45:00,t04 determine confirmation of receipt,75
10/28/2010 11:46:00,t04 determine confirmation of receipt,76
10/28/2010 11:46:00,t04 determine confirmation of receipt,77
10/28/2010 13:44:00,t05 print and send confirmation of receipt,78
10/28/2010 13:45:00,t05 print and send confirmation of receipt,79
10/28/2010 13:46:00,t05 print and send confirmation of receipt,80
10/28/2010 13:47:00,t05 print and send confirmation of receipt,81
11/01/2010 09:42:00,t06 determine necessity of stop advice,82
11/01/2010 09:43:00,t10 determine necessity to stop indication,83
11/01/2010 11:37:00,confirmation of receipt,84
11/01/2010 12:22:00,confirmation of receipt,85
11/01/2010 12:25:00,t06 determine necessity of stop advice,86
11/01/2010 12:25:00,t10 determine necessity to stop indication,87
11/01/2010 12:45:00,t02 check confirmation of receipt,88
11/01/2010 13:16:00,confirmation of receipt,89
11/01/2010 13:19:00,t06 determine necessity of stop advice,90
11/01/2010 13:21:00,t10 determine necessity to stop indication,91
11/01/2010 13:39:00,t04 determine confirmation of receipt,92
11/01/2010 13:40:00,t02 check confirmation of receipt,93
11/01/2010 13:46:00,confirmation of receipt,94
11/01/2010 13:46:00,t06 determine necessity of stop advice,95
11/01/2010 13:47:00,t10 determine necessity to stop indication,96
11/01/2010 13:52:00,t04 determine confirmation of receipt,97
11/01/2010 14:55:00,confirmation of receipt,98
