CaseID,Activity,Timestamp,Probability
1,accepted,07/11/2006 11:00:36,1.0
2,accepted,07/11/2006 02:05:44,1.0
3,accepted,20/03/2007 10:06:25,1.0
4,accepted,10/05/2007 04:21:54,1.0
5,accepted,25/07/2007 02:21:05,1.0
6,accepted,07/05/2008 06:58:51,1.0
7,accepted,04/06/2008 12:02:18,1.0
8,accepted,06/10/2008 04:44:37,1.0
9,accepted,13/11/2008 10:43:32,1.0
10,accepted,13/11/2008 12:01:04,1.0
11,accepted,25/06/2009 09:47:52,1.0
12,accepted,11/08/2009 08:44:51,1.0
12,queued,11/08/2009 08:55:12,1.0
13,accepted,11/08/2009 12:01:25,1.0
12,accepted,11/08/2009 12:01:25,1.0
14,accepted,07/09/2009 02:33:24,1.0
15,accepted,18/09/2009 12:50:02,1.0
16,accepted,21/09/2009 02:13:43,1.0
17,accepted,22/09/2009 02:22:05,1.0
18,accepted,22/09/2009 02:25:17,1.0
19,accepted,23/09/2009 11:52:27,1.0
20,accepted,28/09/2009 11:26:19,1.0
21,accepted,28/09/2009 11:26:30,1.0
22,accepted,14/10/2009 06:12:54,1.0
23,accepted,26/10/2009 03:47:10,1.0
24,accepted,27/10/2009 10:42:40,1.0
25,accepted,27/10/2009 10:42:49,1.0
24,unmatched,27/10/2009 10:57:26,0.5
25,unmatched,27/10/2009 10:57:26,0.5
26,accepted,30/10/2009 02:49:04,1.0
27,accepted,30/10/2009 02:57:13,1.0
28,accepted,04/11/2009 09:07:28,1.0
29,accepted,12/11/2009 02:41:27,1.0
30,accepted,24/11/2009 10:41:50,1.0
31,accepted,24/11/2009 10:44:43,1.0
32,accepted,02/12/2009 03:24:31,1.0
33,accepted,02/12/2009 03:24:32,1.0
34,accepted,02/12/2009 03:24:32,1.0
35,accepted,02/12/2009 03:24:33,1.0
36,accepted,02/12/2009 03:24:34,1.0
37,accepted,02/12/2009 03:24:34,1.0
38,accepted,02/12/2009 03:24:35,1.0
39,accepted,02/12/2009 03:24:37,1.0
40,accepted,14/12/2009 03:29:17,1.0
41,accepted,16/12/2009 01:59:24,1.0
42,accepted,16/12/2009 09:47:26,1.0
43,accepted,22/12/2009 10:09:31,1.0
43,unmatched,22/12/2009 10:25:22,1.0
44,accepted,22/12/2009 11:56:03,1.0
45,accepted,04/01/2010 10:00:17,1.0
