Timestamp,Activity
01/11/2006  04:49:42 PM,queued
11/07/2006  11:00:36 AM,accepted
11/07/2006  02:05:44 PM,accepted
03/20/2007  10:06:25 AM,accepted
05/10/2007  04:21:54 PM,accepted
07/25/2007  02:21:05 PM,accepted
05/07/2008  06:58:51 PM,accepted
06/04/2008  12:02:18 PM,accepted
10/06/2008  04:44:37 PM,accepted
11/13/2008  10:43:32 AM,accepted
11/13/2008  12:01:04 PM,accepted
06/25/2009  09:47:52 AM,accepted
08/11/2009  08:44:51 AM,accepted
08/11/2009  08:55:12 AM,queued
08/11/2009  12:01:25 PM,accepted
09/07/2009  02:33:24 PM,accepted
09/14/2009  11:37:50 AM,unmatched
09/16/2009  10:42:12 PM,queued
09/18/2009  12:50:02 PM,accepted
09/21/2009  02:13:43 PM,accepted
09/22/2009  02:22:05 PM,accepted
09/22/2009  02:25:17 PM,accepted
09/23/2009  11:52:27 AM,accepted
09/28/2009  11:26:19 AM,accepted
09/28/2009  11:26:30 AM,accepted
10/14/2009  06:12:54 PM,accepted
10/26/2009  03:47:10 PM,accepted
10/27/2009  10:42:40 AM,accepted
10/27/2009  10:42:49 AM,accepted
10/27/2009  10:57:26 AM,unmatched
10/30/2009  02:49:04 PM,accepted
10/30/2009  02:57:13 PM,accepted
11/04/2009  09:07:28 AM,accepted
11/09/2009  05:38:14 PM,queued
11/12/2009  02:41:27 PM,accepted
11/17/2009  03:07:38 PM,unmatched
11/24/2009  10:41:50 AM,accepted
11/24/2009  10:44:43 AM,accepted
11/30/2009  11:45:01 AM,queued
12/02/2009  03:24:31 PM,accepted
12/02/2009  03:24:32 PM,accepted
12/02/2009  03:24:32 PM,accepted
12/02/2009  03:24:33 PM,accepted
12/02/2009  03:24:34 PM,accepted
12/02/2009  03:24:34 PM,accepted
12/02/2009  03:24:35 PM,accepted
12/02/2009  03:24:37 PM,accepted
12/04/2009  01:10:14 PM,unmatched
12/14/2009  03:29:17 PM,accepted
12/16/2009  01:59:24 PM,accepted
12/16/2009  09:47:26 PM,accepted
12/22/2009  10:09:31 AM,accepted
12/22/2009  10:25:22 AM,unmatched
12/22/2009  11:56:03 AM,accepted
01/04/2010  10:00:17 AM,accepted
01/05/2010  05:42:20 PM,accepted
01/14/2010  11:34:54 AM,accepted
01/14/2010  04:02:21 PM,accepted
01/15/2010  04:10:22 PM,queued
01/21/2010  05:42:26 PM,accepted
01/25/2010  08:44:36 AM,accepted
01/25/2010  10:19:08 AM,accepted
01/27/2010  11:43:29 AM,accepted
01/27/2010  02:58:09 PM,accepted
02/02/2010  04:50:20 PM,accepted
02/03/2010  10:34:32 AM,accepted
