CaseID,Activity,Timestamp,Probability
1,confirmation of receipt,10/02/2010 09:20:00,1.0
1,t02 check confirmation of receipt,10/02/2010 09:21:00,1.0
1,t03 adjust confirmation of receipt,10/02/2010 09:31:00,1.0
1,t03 adjust confirmation of receipt,10/02/2010 09:32:00,1.0
1,t02 check confirmation of receipt,10/02/2010 09:31:00,1.0
2,confirmation of receipt,10/05/2010 08:32:00,1.0
2,t02 check confirmation of receipt,10/05/2010 09:31:00,1.0
2,t07-1 draft intern advice aspect 1,10/05/2010 09:32:00,1.0
2,t04 determine confirmation of receipt,10/05/2010 10:44:00,1.0
3,confirmation of receipt,10/05/2010 13:01:00,1.0
2,t06 determine necessity of stop advice,10/05/2010 13:07:00,1.0
2,t10 determine necessity to stop indication,10/05/2010 13:08:00,1.0
2,t02 check confirmation of receipt,10/05/2010 15:03:00,0.6666666666666666
2,t05 print and send confirmation of receipt,10/05/2010 15:16:00,1.0
2,t03 adjust confirmation of receipt,10/05/2010 15:22:00,0.6666666666666666
2,t02 check confirmation of receipt,10/05/2010 15:26:00,0.75
2,t04 determine confirmation of receipt,10/06/2010 09:12:00,0.6666666666666666
4,confirmation of receipt,10/18/2010 09:24:00,1.0
4,t02 check confirmation of receipt,10/18/2010 11:25:00,1.0
4,t03 adjust confirmation of receipt,10/18/2010 12:27:00,1.0
5,confirmation of receipt,10/20/2010 12:56:00,1.0
5,t02 check confirmation of receipt,10/20/2010 12:57:00,1.0
5,t04 determine confirmation of receipt,10/20/2010 12:58:00,1.0
5,t05 print and send confirmation of receipt,10/20/2010 12:59:00,1.0
5,t06 determine necessity of stop advice,10/20/2010 13:02:00,1.0
5,t07-5 draft intern advice aspect 5,10/21/2010 08:14:00,1.0
5,t06 determine necessity of stop advice,10/21/2010 08:36:00,1.0
5,t10 determine necessity to stop indication,10/21/2010 08:37:00,1.0
5,t03 adjust confirmation of receipt,10/21/2010 09:23:00,1.0
5,t02 check confirmation of receipt,10/21/2010 11:40:00,1.0
5,t03 adjust confirmation of receipt,10/21/2010 11:47:00,1.0
5,t02 check confirmation of receipt,10/21/2010 11:50:00,1.0
6,confirmation of receipt,10/22/2010 09:57:00,1.0
5,t02 check confirmation of receipt,10/22/2010 09:57:00,0.5
6,t02 check confirmation of receipt,10/22/2010 09:57:00,0.5
5,t04 determine confirmation of receipt,10/22/2010 09:58:00,0.5
6,t04 determine confirmation of receipt,10/22/2010 09:58:00,0.5
5,t05 print and send confirmation of receipt,10/22/2010 09:58:00,0.56
6,t05 print and send confirmation of receipt,10/22/2010 09:58:00,0.44
5,t06 determine necessity of stop advice,10/22/2010 09:59:00,0.56
6,t06 determine necessity of stop advice,10/22/2010 09:59:00,0.44
7,confirmation of receipt,10/22/2010 11:17:00,1.0
5,t10 determine necessity to stop indication,10/22/2010 09:59:00,0.5
6,t10 determine necessity to stop indication,10/22/2010 09:59:00,0.5
5,t06 determine necessity of stop advice,10/22/2010 11:23:00,0.5555555555555556
