Timestamp,Activity
10/02/2010 09:20:00,confirmation of receipt
10/02/2010 09:21:00,t02 check confirmation of receipt
10/02/2010 09:31:00,t03 adjust confirmation of receipt
10/02/2010 09:31:00,t02 check confirmation of receipt
10/02/2010 09:32:00,t03 adjust confirmation of receipt
10/05/2010 08:32:00,confirmation of receipt
10/05/2010 08:42:00,t06 determine necessity of stop advice
10/05/2010 09:31:00,t02 check confirmation of receipt
10/05/2010 09:32:00,t07-1 draft intern advice aspect 1
10/05/2010 09:39:00,t06 determine necessity of stop advice
10/05/2010 09:40:00,t10 determine necessity to stop indication
10/05/2010 10:44:00,t04 determine confirmation of receipt
10/05/2010 13:01:00,confirmation of receipt
10/05/2010 13:07:00,t06 determine necessity of stop advice
10/05/2010 13:08:00,t10 determine necessity to stop indication
10/05/2010 15:03:00,t02 check confirmation of receipt
10/05/2010 15:16:00,t05 print and send confirmation of receipt
10/05/2010 15:22:00,t03 adjust confirmation of receipt
10/05/2010 15:26:00,t02 check confirmation of receipt
10/06/2010 09:12:00,t04 determine confirmation of receipt
10/07/2010 15:16:00,t05 print and send confirmation of receipt
10/18/2010 09:24:00,confirmation of receipt
10/18/2010 10:45:00,t06 determine necessity of stop advice
10/18/2010 11:25:00,t02 check confirmation of receipt
10/18/2010 12:27:00,t03 adjust confirmation of receipt
10/20/2010 12:18:00,t02 check confirmation of receipt
10/20/2010 12:56:00,confirmation of receipt
10/20/2010 12:57:00,t02 check confirmation of receipt
10/20/2010 12:58:00,t04 determine confirmation of receipt
10/20/2010 12:59:00,t05 print and send confirmation of receipt
10/20/2010 13:02:00,t06 determine necessity of stop advice
10/21/2010 08:14:00,t07-5 draft intern advice aspect 5
10/21/2010 08:36:00,t06 determine necessity of stop advice
10/21/2010 08:37:00,t10 determine necessity to stop indication
10/21/2010 09:23:00,t03 adjust confirmation of receipt
10/21/2010 11:40:00,t02 check confirmation of receipt
10/21/2010 11:47:00,t03 adjust confirmation of receipt
10/21/2010 11:50:00,t02 check confirmation of receipt
10/22/2010 09:57:00,confirmation of receipt
10/22/2010 09:57:00,t02 check confirmation of receipt
10/22/2010 09:58:00,t04 determine confirmation of receipt
10/22/2010 09:58:00,t05 print and send confirmation of receipt
10/22/2010 09:59:00,t06 determine necessity of stop advice
10/22/2010 09:59:00,t10 determine necessity to stop indication
10/22/2010 11:17:00,confirmation of receipt
10/22/2010 11:23:00,t06 determine necessity of stop advice
10/22/2010 11:23:00,t02 check confirmation of receipt
10/22/2010 11:24:00,t04 determine confirmation of receipt
10/22/2010 11:30:00,t10 determine necessity to stop indication
10/22/2010 11:34:00,t05 print and send confirmation of receipt
10/22/2010 13:21:00,t04 determine confirmation of receipt
10/25/2010 11:52:00,t05 print and send confirmation of receipt
10/25/2010 15:57:00,confirmation of receipt
10/25/2010 16:13:00,t06 determine necessity of stop advice
10/26/2010 09:18:00,confirmation of receipt
10/26/2010 09:38:00,t07-5 draft intern advice aspect 5
10/26/2010 09:39:00,t07-1 draft intern advice aspect 1
10/26/2010 09:41:00,t08 draft and send request for advice
10/26/2010 09:42:00,t09-1 process or receive external advice from party 1
10/26/2010 09:45:00,confirmation of receipt
10/26/2010 10:47:00,confirmation of receipt
10/26/2010 11:03:00,confirmation of receipt
10/26/2010 12:23:00,t06 determine necessity of stop advice
10/26/2010 12:27:00,t10 determine necessity to stop indication
10/26/2010 15:28:00,confirmation of receipt
10/26/2010 15:51:00,t02 check confirmation of receipt
10/26/2010 15:51:00,t02 check confirmation of receipt
10/26/2010 15:52:00,t02 check confirmation of receipt
10/26/2010 15:52:00,t02 check confirmation of receipt
10/27/2010 08:59:00,confirmation of receipt
10/27/2010 09:04:00,t06 determine necessity of stop advice
10/27/2010 09:20:00,t07-3 draft intern advice hold for aspect 3
10/27/2010 09:27:00,confirmation of receipt
10/28/2010 11:44:00,t04 determine confirmation of receipt
10/28/2010 11:45:00,t04 determine confirmation of receipt
10/28/2010 11:46:00,t04 determine confirmation of receipt
10/28/2010 11:46:00,t04 determine confirmation of receipt
10/28/2010 13:44:00,t05 print and send confirmation of receipt
10/28/2010 13:45:00,t05 print and send confirmation of receipt
10/28/2010 13:46:00,t05 print and send confirmation of receipt
10/28/2010 13:47:00,t05 print and send confirmation of receipt
11/01/2010 09:42:00,t06 determine necessity of stop advice
11/01/2010 09:43:00,t10 determine necessity to stop indication
11/01/2010 11:37:00,confirmation of receipt
11/01/2010 12:22:00,confirmation of receipt
11/01/2010 12:25:00,t06 determine necessity of stop advice
11/01/2010 12:25:00,t10 determine necessity to stop indication
11/01/2010 12:45:00,t02 check confirmation of receipt
11/01/2010 13:16:00,confirmation of receipt
11/01/2010 13:19:00,t06 determine necessity of stop advice
11/01/2010 13:21:00,t10 determine necessity to stop indication
11/01/2010 13:39:00,t04 determine confirmation of receipt
11/01/2010 13:40:00,t02 check confirmation of receipt
11/01/2010 13:46:00,confirmation of receipt
11/01/2010 13:46:00,t06 determine necessity of stop advice
11/01/2010 13:47:00,t10 determine necessity to stop indication
11/01/2010 13:52:00,t04 determine confirmation of receipt
11/01/2010 14:55:00,confirmation of receipt
11/01/2010 14:56:00,t06 determine necessity of stop advice
11/01/2010 14:59:00,t10 determine necessity to stop indication
11/01/2010 15:08:00,t16 report reasons to hold request
11/01/2010 15:21:00,t17 check report y to stop indication
11/01/2010 15:22:00,t19 determine report y to stop indication
11/01/2010 15:22:00,t20 print report y to stop indication
11/01/2010 16:05:00,confirmation of receipt
11/01/2010 16:05:00,t06 determine necessity of stop advice
11/01/2010 16:06:00,t10 determine necessity to stop indication
11/01/2010 16:06:00,t02 check confirmation of receipt
11/02/2010 08:32:00,confirmation of receipt
11/02/2010 08:33:00,t06 determine necessity of stop advice
11/02/2010 08:33:00,t10 determine necessity to stop indication
11/02/2010 11:38:00,t06 determine necessity of stop advice
11/02/2010 11:41:00,t02 check confirmation of receipt
11/02/2010 11:42:00,t04 determine confirmation of receipt
11/02/2010 13:42:00,confirmation of receipt
11/02/2010 13:45:00,t06 determine necessity of stop advice
11/02/2010 13:46:00,t10 determine necessity to stop indication
11/02/2010 15:38:00,t06 determine necessity of stop advice
11/02/2010 15:38:00,t10 determine necessity to stop indication
11/02/2010 16:47:00,t07-3 draft intern advice hold for aspect 3
11/03/2010 08:29:00,confirmation of receipt
11/03/2010 08:29:00,t06 determine necessity of stop advice
11/03/2010 08:34:00,t10 determine necessity to stop indication
11/03/2010 08:43:00,t02 check confirmation of receipt
11/03/2010 08:52:00,t03 adjust confirmation of receipt
11/03/2010 08:58:00,confirmation of receipt
11/03/2010 08:59:00,t06 determine necessity of stop advice
11/03/2010 09:00:00,t10 determine necessity to stop indication
11/03/2010 09:28:00,confirmation of receipt
11/03/2010 09:29:00,t06 determine necessity of stop advice
11/03/2010 09:29:00,t10 determine necessity to stop indication
11/03/2010 09:45:00,t05 print and send confirmation of receipt
11/03/2010 09:46:00,t05 print and send confirmation of receipt
11/03/2010 09:46:00,t05 print and send confirmation of receipt
11/03/2010 11:06:00,t08 draft and send request for advice
11/03/2010 11:06:00,t07-5 draft intern advice aspect 5
11/03/2010 11:07:00,t09-4 process or receive external advice from party 4
11/03/2010 11:07:00,t06 determine necessity of stop advice
11/03/2010 11:08:00,t10 determine necessity to stop indication
11/03/2010 11:57:00,confirmation of receipt
11/03/2010 11:59:00,t02 check confirmation of receipt
11/03/2010 12:00:00,t04 determine confirmation of receipt
11/03/2010 12:00:00,t05 print and send confirmation of receipt
11/04/2010 09:33:00,confirmation of receipt
11/04/2010 09:33:00,t06 determine necessity of stop advice
11/04/2010 09:34:00,t10 determine necessity to stop indication
11/04/2010 10:07:00,t07-4 draft internal advice to hold for type 4
11/04/2010 10:12:00,t07-2 draft intern advice aspect 2
11/04/2010 10:34:00,t02 check confirmation of receipt
11/04/2010 10:37:00,t04 determine confirmation of receipt
11/04/2010 11:01:00,t02 check confirmation of receipt
11/04/2010 11:16:00,t02 check confirmation of receipt
11/04/2010 11:20:00,t02 check confirmation of receipt
11/04/2010 11:25:00,t02 check confirmation of receipt
11/04/2010 11:26:00,t02 check confirmation of receipt
11/04/2010 11:29:00,t02 check confirmation of receipt
11/04/2010 11:33:00,t02 check confirmation of receipt
11/04/2010 11:42:00,confirmation of receipt
11/04/2010 11:44:00,t06 determine necessity of stop advice
11/04/2010 11:45:00,t10 determine necessity to stop indication
11/04/2010 12:23:00,t02 check confirmation of receipt
11/04/2010 12:24:00,t02 check confirmation of receipt
11/04/2010 12:30:00,t04 determine confirmation of receipt
11/04/2010 12:33:00,confirmation of receipt
11/04/2010 12:34:00,t04 determine confirmation of receipt
11/04/2010 12:36:00,t06 determine necessity of stop advice
11/04/2010 12:36:00,t10 determine necessity to stop indication
11/04/2010 12:39:00,t02 check confirmation of receipt
11/04/2010 12:45:00,confirmation of receipt
11/04/2010 12:45:00,t06 determine necessity of stop advice
11/04/2010 12:46:00,t10 determine necessity to stop indication
11/04/2010 12:46:00,confirmation of receipt
11/04/2010 12:49:00,t06 determine necessity of stop advice
11/04/2010 12:51:00,t04 determine confirmation of receipt
11/04/2010 12:56:00,t07-5 draft intern advice aspect 5
11/04/2010 12:58:00,t06 determine necessity of stop advice
11/04/2010 12:58:00,t10 determine necessity to stop indication
11/04/2010 14:18:00,t04 determine confirmation of receipt
11/04/2010 14:38:00,t05 print and send confirmation of receipt
11/04/2010 14:41:00,t05 print and send confirmation of receipt
11/04/2010 14:46:00,t05 print and send confirmation of receipt
11/04/2010 14:52:00,t05 print and send confirmation of receipt
11/04/2010 14:56:00,t06 determine necessity of stop advice
11/04/2010 14:56:00,t10 determine necessity to stop indication
11/04/2010 15:01:00,t02 check confirmation of receipt
11/04/2010 15:03:00,t02 check confirmation of receipt
11/04/2010 15:30:00,confirmation of receipt
11/04/2010 15:31:00,t06 determine necessity of stop advice
11/04/2010 15:31:00,t10 determine necessity to stop indication
11/04/2010 15:50:00,t03 adjust confirmation of receipt
11/04/2010 15:59:00,t06 determine necessity of stop advice
11/04/2010 16:01:00,t10 determine necessity to stop indication
11/04/2010 16:03:00,t06 determine necessity of stop advice
11/04/2010 16:03:00,t10 determine necessity to stop indication
11/04/2010 16:14:00,t03 adjust confirmation of receipt
11/04/2010 16:18:00,confirmation of receipt
11/04/2010 16:18:00,confirmation of receipt
11/04/2010 16:21:00,t06 determine necessity of stop advice
11/04/2010 16:27:00,t04 determine confirmation of receipt
11/04/2010 16:37:00,confirmation of receipt
11/04/2010 16:41:00,t02 check confirmation of receipt
11/04/2010 16:44:00,t03 adjust confirmation of receipt
11/04/2010 16:51:00,t02 check confirmation of receipt
11/04/2010 18:04:00,t05 print and send confirmation of receipt
11/05/2010 09:25:00,t03 adjust confirmation of receipt
11/05/2010 09:58:00,confirmation of receipt
11/05/2010 10:26:00,confirmation of receipt
11/05/2010 10:34:00,t02 check confirmation of receipt
11/05/2010 10:36:00,t02 check confirmation of receipt
11/05/2010 10:39:00,t02 check confirmation of receipt
11/05/2010 10:43:00,t03 adjust confirmation of receipt
11/05/2010 12:22:00,t03 adjust confirmation of receipt
11/05/2010 12:42:00,confirmation of receipt
11/05/2010 15:30:00,confirmation of receipt
11/05/2010 15:31:00,t06 determine necessity of stop advice
11/05/2010 15:31:00,t10 determine necessity to stop indication
11/05/2010 16:19:00,confirmation of receipt
11/08/2010 10:18:00,confirmation of receipt
11/08/2010 10:18:00,t06 determine necessity of stop advice
11/08/2010 10:18:00,t10 determine necessity to stop indication
11/08/2010 10:42:00,confirmation of receipt
11/08/2010 10:42:00,t06 determine necessity of stop advice
11/08/2010 10:43:00,t10 determine necessity to stop indication
11/08/2010 10:58:00,confirmation of receipt
11/08/2010 10:59:00,t06 determine necessity of stop advice
11/08/2010 10:59:00,t10 determine necessity to stop indication
11/08/2010 11:25:00,confirmation of receipt
