CaseID,Activity,Timestamp,Probability,initTime,sysTime
1,accepted,11/07/2006 11:00:36,1.0,1628797014911,1628797014911
2,accepted,11/07/2006 02:05:44,1.0,1628797014926,1628797014926
3,accepted,03/20/2007 10:06:25,1.0,1628797014942,1628797014942
4,accepted,05/10/2007 04:21:54,1.0,1628797014957,1628797014957
5,accepted,07/25/2007 02:21:05,1.0,1628797014973,1628797014973
6,accepted,05/07/2008 06:58:51,1.0,1628797014989,1628797014989
7,accepted,06/04/2008 12:02:18,1.0,1628797015004,1628797015004
8,accepted,10/06/2008 04:44:37,1.0,1628797015020,1628797015020
9,accepted,11/13/2008 10:43:32,1.0,1628797015038,1628797015038
10,accepted,11/13/2008 12:01:04,1.0,1628797015054,1628797015054
9,accepted,11/13/2008 12:01:04,1.0,1628797015054,1628797015054
11,accepted,06/25/2009 09:47:52,1.0,1628797015069,1628797015069
12,accepted,08/11/2009 08:44:51,1.0,1628797015085,1628797015085
12,queued,08/11/2009 08:55:12,1.0,1628797015100,1628797015100
13,accepted,08/11/2009 12:01:25,1.0,1628797015116,1628797015116
12,accepted,08/11/2009 12:01:25,1.0,1628797015116,1628797015116
14,accepted,09/07/2009 02:33:24,1.0,1628797015132,1628797015132
15,accepted,09/18/2009 12:50:02,1.0,1628797015179,1628797015179
16,accepted,09/21/2009 02:13:43,1.0,1628797015194,1628797015194
17,accepted,09/22/2009 02:22:05,1.0,1628797015210,1628797015210
18,accepted,09/22/2009 02:25:17,1.0,1628797015226,1628797015226
17,accepted,09/22/2009 02:25:17,1.0,1628797015226,1628797015227
19,accepted,09/23/2009 11:52:27,1.0,1628797015242,1628797015242
20,accepted,09/28/2009 11:26:19,1.0,1628797015258,1628797015258
21,accepted,09/28/2009 11:26:30,1.0,1628797015274,1628797015274
20,accepted,09/28/2009 11:26:30,1.0,1628797015274,1628797015274
22,accepted,10/14/2009 06:12:54,1.0,1628797015289,1628797015289
23,accepted,10/26/2009 03:47:10,1.0,1628797015305,1628797015305
24,accepted,10/27/2009 10:42:40,1.0,1628797015320,1628797015320
25,accepted,10/27/2009 10:42:49,1.0,1628797015336,1628797015336
24,accepted,10/27/2009 10:42:49,1.0,1628797015336,1628797015336
24,unmatched,10/27/2009 10:57:26,0.6666666666666666,1628797015352,1628797015352
25,unmatched,10/27/2009 10:57:26,0.3333333333333333,1628797015352,1628797015352
26,accepted,10/30/2009 02:49:04,1.0,1628797015367,1628797015367
27,accepted,10/30/2009 02:57:13,1.0,1628797015383,1628797015383
26,accepted,10/30/2009 02:57:13,1.0,1628797015383,1628797015383
28,accepted,11/04/2009 09:07:28,1.0,1628797015399,1628797015399
29,accepted,11/12/2009 02:41:27,1.0,1628797015430,1628797015430
30,accepted,11/24/2009 10:41:50,1.0,1628797015461,1628797015461
31,accepted,11/24/2009 10:44:43,1.0,1628797015477,1628797015477
30,accepted,11/24/2009 10:44:43,1.0,1628797015477,1628797015477
32,accepted,12/02/2009 03:24:31,1.0,1628797015508,1628797015508
33,accepted,12/02/2009 03:24:32,1.0,1628797015524,1628797015524
32,accepted,12/02/2009 03:24:32,1.0,1628797015524,1628797015524
34,accepted,12/02/2009 03:24:32,1.0,1628797015541,1628797015541
35,accepted,12/02/2009 03:24:33,1.0,1628797015557,1628797015557
32,accepted,12/02/2009 03:24:33,0.6666666666666666,1628797015557,1628797015557
33,accepted,12/02/2009 03:24:33,0.3333333333333333,1628797015557,1628797015557
32,accepted,12/02/2009 03:24:33,0.5,1628797015557,1628797015557
36,accepted,12/02/2009 03:24:34,1.0,1628797015572,1628797015572
32,accepted,12/02/2009 03:24:34,0.5,1628797015572,1628797015572
37,accepted,12/02/2009 03:24:34,1.0,1628797015588,1628797015588
38,accepted,12/02/2009 03:24:35,1.0,1628797015604,1628797015604
32,accepted,12/02/2009 03:24:35,0.5,1628797015604,1628797015604
32,accepted,12/02/2009 03:24:35,0.45454545454545453,1628797015604,1628797015604
39,accepted,12/02/2009 03:24:37,1.0,1628797015619,1628797015619
32,accepted,12/02/2009 03:24:37,0.5,1628797015619,1628797015619
40,accepted,12/14/2009 03:29:17,1.0,1628797015651,1628797015651
41,accepted,12/16/2009 01:59:24,1.0,1628797015666,1628797015666
42,accepted,12/16/2009 09:47:26,1.0,1628797015682,1628797015682
41,accepted,12/16/2009 09:47:26,1.0,1628797015682,1628797015682
43,accepted,12/22/2009 10:09:31,1.0,1628797015697,1628797015697
43,unmatched,12/22/2009 10:25:22,1.0,1628797015713,1628797015713
