CaseID,Activity,Timestamp,Probability,initTime,sysTime
1,a_create application,51/01/2016 11:51:00,1.0,1620439079029,1620439079033
1,a_concept,52/01/2016 11:52:00,1.0,1620439079107,1620439079128
2,a_create application,16/01/2016 12:16:00,1.0,1620439079171,1620439079171
3,a_create application,19/01/2016 01:19:00,1.0,1620439079267,1620439079267
2,a_concept,17/01/2016 12:17:00,1.0,1620439079267,1620439079270
3,a_concept,20/01/2016 01:20:00,1.0,1620439079347,1620439079349
4,a_create application,34/01/2016 02:34:00,1.0,1620439079393,1620439079394
5,a_create application,00/01/2016 03:00:00,1.0,1620439079472,1620439079472
5,a_concept,01/01/2016 03:01:00,1.0,1620439079549,1620439079552
6,a_create application,05/01/2016 03:05:00,1.0,1620439079597,1620439079597
5,a_concept,06/01/2016 03:06:00,0.6666666666666666,1620439079677,1620439079680
6,a_concept,06/01/2016 03:06:00,0.3333333333333333,1620439079677,1620439079680
7,a_create application,22/01/2016 03:22:00,1.0,1620439079725,1620439079725
7,a_concept,23/01/2016 03:23:00,1.0,1620439079789,1620439079790
8,a_create application,35/01/2016 03:35:00,1.0,1620439079821,1620439079821
8,a_concept,36/01/2016 03:36:00,1.0,1620439079884,1620439079885
9,a_create application,13/01/2016 04:13:00,1.0,1620439079931,1620439079931
9,a_concept,14/01/2016 04:14:00,1.0,1620439080008,1620439080010
10,a_create application,23/01/2016 04:23:00,1.0,1620439080055,1620439080055
10,a_concept,24/01/2016 04:24:00,1.0,1620439080133,1620439080134
11,a_create application,42/01/2016 04:42:00,1.0,1620439080165,1620439080165
11,a_concept,43/01/2016 04:43:00,1.0,1620439080229,1620439080230
12,a_create application,00/01/2016 06:00:00,1.0,1620439080261,1620439080261
12,a_concept,01/01/2016 06:01:00,1.0,1620439080325,1620439080326
13,a_create application,22/01/2016 06:22:00,1.0,1620439080371,1620439080371
13,a_concept,23/01/2016 06:23:00,1.0,1620439080449,1620439080450
14,a_create application,58/01/2016 06:58:00,1.0,1620439080494,1620439080494
14,a_concept,59/01/2016 06:59:00,1.0,1620439080571,1620439080571
15,a_create application,04/01/2016 07:04:00,1.0,1620439080617,1620439080617
14,a_concept,05/01/2016 07:05:00,0.5,1620439080681,1620439080686
15,a_concept,05/01/2016 07:05:00,0.5,1620439080681,1620439080686
16,a_create application,06/01/2016 07:06:00,1.0,1620439080728,1620439080728
15,a_concept,08/01/2016 07:08:00,0.5,1620439080805,1620439080806
14,a_concept,08/01/2016 07:08:00,0.25,1620439080805,1620439080806
15,a_concept,08/01/2016 07:08:00,0.5,1620439080805,1620439080806
17,a_create application,58/01/2016 07:58:00,1.0,1620439080851,1620439080851
18,a_create application,13/01/2016 09:13:00,1.0,1620439080913,1620439080913
19,a_create application,18/01/2016 09:18:00,1.0,1620439081008,1620439081008
18,a_concept,13/01/2016 09:13:00,1.0,1620439081008,1620439081009
18,a_concept,19/01/2016 09:19:00,0.6666666666666666,1620439081072,1620439081073
19,a_concept,19/01/2016 09:19:00,0.3333333333333333,1620439081072,1620439081073
20,a_create application,14/01/2016 11:14:00,1.0,1620439081118,1620439081118
20,a_concept,16/01/2016 11:16:00,1.0,1620439081182,1620439081183
21,a_create application,24/01/2016 11:24:00,1.0,1620439081214,1620439081214
21,a_concept,25/01/2016 11:25:00,1.0,1620439081292,1620439081292
22,a_create application,57/01/2016 11:57:00,1.0,1620439081324,1620439081324
22,a_concept,58/01/2016 11:58:00,1.0,1620439081400,1620439081401
23,a_create application,08/02/2016 03:08:00,1.0,1620439081432,1620439081432
24,a_create application,57/02/2016 10:57:00,1.0,1620439081496,1620439081496
25,a_create application,57/02/2016 10:57:00,1.0,1620439081559,1620439081559
24,a_concept,58/02/2016 10:58:00,0.5,1620439081622,1620439081623
25,a_concept,58/02/2016 10:58:00,0.5,1620439081622,1620439081623
24,a_concept,59/02/2016 10:59:00,0.5,1620439081668,1620439081669
25,a_concept,59/02/2016 10:59:00,0.5,1620439081668,1620439081670
26,a_create application,12/02/2016 11:12:00,1.0,1620439081806,1620439081806
26,a_concept,12/02/2016 11:12:00,1.0,1620439081870,1620439081873
24,a_accepted,15/02/2016 11:15:00,0.42857142857142855,1620439081870,1620439081874
25,a_accepted,15/02/2016 11:15:00,0.42857142857142855,1620439081870,1620439081874
24,o_create offer,17/02/2016 11:17:00,0.4,1620439081916,1620439081922
25,o_create offer,17/02/2016 11:17:00,0.4,1620439081916,1620439081922
24,o_create offer,17/02/2016 11:17:00,0.4,1620439081916,1620439081923
24,w_complete application,19/02/2016 11:19:00,0.46153846153846156,1620439081996,1620439082005
25,w_complete application,19/02/2016 11:19:00,0.38461538461538464,1620439081996,1620439082005
24,w_call after offers,19/02/2016 11:19:00,0.4666666666666667,1620439082138,1620439082152
25,w_call after offers,19/02/2016 11:19:00,0.4,1620439082138,1620439082152
26,o_sent (online only),19/02/2016 11:19:00,0.2222222222222222,1620439082138,1620439082153
24,o_sent (online only),19/02/2016 11:19:00,0.4444444444444444,1620439082138,1620439082153
24,o_cancelled,21/02/2016 11:21:00,0.4666666666666667,1620439082138,1620439082155
25,o_cancelled,21/02/2016 11:21:00,0.4,1620439082138,1620439082155
26,o_sent (mail and online),22/02/2016 11:22:00,0.2,1620439082264,1620439082277
24,o_sent (mail and online),22/02/2016 11:22:00,0.4666666666666667,1620439082264,1620439082277
24,o_create offer,21/02/2016 11:21:00,0.47619047619047616,1620439082264,1620439082277
25,o_create offer,21/02/2016 11:21:00,0.38095238095238093,1620439082264,1620439082277
27,a_create application,24/02/2016 11:24:00,1.0,1620439082312,1620439082312
24,a_concept,24/02/2016 11:24:00,0.46153846153846156,1620439082422,1620439082425
25,a_concept,24/02/2016 11:24:00,0.3076923076923077,1620439082422,1620439082425
