Name,Pid,CPU,Thd,Hnd,Priv,CPU Time,Elapsed Time,Delta,Delta2,,,from,1101,,,,,,Autocalculated average
eclipse,27720,0,84,1516,770292,05:34.2,13:50.5,,770292,,,step,110,,,J1,J110,,770654.8991
eclipse,27720,1,84,1516,770292,05:34.3,13:51.7,0,770292,,,111,220,2,,J111,J220,,770526.7273
eclipse,27720,12,88,1527,770796,05:35.6,13:53.0,504,770796,,,221,330,3,,J221,J330,,770255.8545
eclipse,27720,0,88,1527,770696,05:35.6,13:54.2,-100,770696,,,331,440,4,,J331,J440,,770097.3818
eclipse,27720,0,88,1527,770696,05:35.6,13:55.6,0,770696,,,441,550,5,,J441,J550,,770096
eclipse,27720,0,88,1527,770696,05:35.6,13:56.9,0,770696,,,551,660,6,,J551,J660,,770096
eclipse,27720,0,88,1527,770720,05:35.6,13:58.2,24,770720,,,661,770,7,,J661,J770,,770056.2909
eclipse,27720,0,88,1527,770720,05:35.6,13:59.6,0,770720,,,771,880,8,,J771,J880,,770007.3455
eclipse,27720,0,88,1529,770696,05:35.7,14:00.9,-24,770696,,,881,990,9,,J881,J990,,770016
eclipse,27720,0,88,1529,770696,05:35.7,14:02.2,0,770696,,,991,1100,10,,J991,J1100,,770016
eclipse,27720,0,88,1529,770696,05:35.7,14:03.4,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:04.7,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:06.0,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:07.2,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:08.5,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:09.7,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:11.0,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:12.3,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:13.5,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:14.8,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:16.0,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:17.3,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:18.5,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:19.8,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:21.0,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:22.2,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:23.5,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:24.8,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:26.1,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:27.4,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:28.6,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:29.9,0,770696,,,,,,,,,,
eclipse,27720,0,88,1529,770696,05:35.7,14:31.1,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:32.3,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:33.7,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:35.0,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:36.3,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:37.5,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:38.8,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:40.0,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:41.3,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:42.6,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:43.9,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:45.2,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:46.4,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:47.7,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:48.9,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:50.2,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:51.4,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:52.7,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:53.9,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:55.1,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:56.5,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:57.7,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,14:59.0,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,15:00.2,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,15:01.5,0,770696,,,,,,,,,,
eclipse,27720,0,88,1528,770696,05:35.7,15:02.7,0,770696,,,,,,,,,,
eclipse,27720,1,88,1528,770788,05:35.8,15:03.9,92,770788,,,,,,,,,,
eclipse,27720,1,87,1524,770704,05:36.0,15:05.1,-84,770704,,,,,,,,,,
eclipse,27720,0,87,1524,770616,05:36.0,15:06.4,-88,770616,,,,,,,,,,
