CaseID,Activity,Timestamp,Probability,initTime,sysTime
1,confirmation of receipt,10/02/2010 09:20:00,1.0,1628971930243,1628971930245
1,t02 check confirmation of receipt,10/02/2010 09:21:00,1.0,1628971930312,1628971930334
1,t03 adjust confirmation of receipt,10/02/2010 09:31:00,1.0,1628971930390,1628971930396
1,t03 adjust confirmation of receipt,10/02/2010 09:32:00,1.0,1628971930517,1628971930525
1,t02 check confirmation of receipt,10/02/2010 09:31:00,1.0,1628971930517,1628971930526
2,confirmation of receipt,10/05/2010 08:32:00,1.0,1628971930579,1628971930579
2,t02 check confirmation of receipt,10/05/2010 09:31:00,1.0,1628971930706,1628971930707
2,t07-1 draft intern advice aspect 1,10/05/2010 09:32:00,1.0,1628971930768,1628971930777
2,t04 determine confirmation of receipt,10/05/2010 10:44:00,1.0,1628971930958,1628971930966
3,confirmation of receipt,10/05/2010 13:01:00,1.0,1628971931020,1628971931020
2,t06 determine necessity of stop advice,10/05/2010 13:07:00,1.0,1628971931084,1628971931091
2,t10 determine necessity to stop indication,10/05/2010 13:08:00,1.0,1628971931146,1628971931151
2,t02 check confirmation of receipt,10/05/2010 15:03:00,0.6666666666666666,1628971931210,1628971931217
3,t02 check confirmation of receipt,10/05/2010 15:03:00,0.3333333333333333,1628971931210,1628971931217
2,t05 print and send confirmation of receipt,10/05/2010 15:16:00,1.0,1628971931272,1628971931281
2,t03 adjust confirmation of receipt,10/05/2010 15:22:00,0.6666666666666666,1628971931335,1628971931336
3,t03 adjust confirmation of receipt,10/05/2010 15:22:00,0.3333333333333333,1628971931335,1628971931336
2,t02 check confirmation of receipt,10/05/2010 15:26:00,0.6,1628971931396,1628971931397
3,t02 check confirmation of receipt,10/05/2010 15:26:00,0.4,1628971931396,1628971931397
2,t04 determine confirmation of receipt,10/06/2010 09:12:00,0.5,1628971931458,1628971931462
3,t04 determine confirmation of receipt,10/06/2010 09:12:00,0.5,1628971931458,1628971931462
4,confirmation of receipt,10/18/2010 09:24:00,1.0,1628971931584,1628971931584
4,t02 check confirmation of receipt,10/18/2010 11:25:00,1.0,1628971931710,1628971931711
4,t03 adjust confirmation of receipt,10/18/2010 12:27:00,1.0,1628971931772,1628971931775
5,confirmation of receipt,10/20/2010 12:56:00,1.0,1628971931898,1628971931899
5,t02 check confirmation of receipt,10/20/2010 12:57:00,1.0,1628971931961,1628971931963
5,t04 determine confirmation of receipt,10/20/2010 12:58:00,1.0,1628971932025,1628971932027
5,t05 print and send confirmation of receipt,10/20/2010 12:59:00,1.0,1628971932087,1628971932090
5,t06 determine necessity of stop advice,10/20/2010 13:02:00,1.0,1628971932150,1628971932154
5,t07-5 draft intern advice aspect 5,10/21/2010 08:14:00,1.0,1628971932215,1628971932232
5,t06 determine necessity of stop advice,10/21/2010 08:36:00,1.0,1628971932292,1628971932295
5,t10 determine necessity to stop indication,10/21/2010 08:37:00,1.0,1628971932354,1628971932358
5,t03 adjust confirmation of receipt,10/21/2010 09:23:00,1.0,1628971932416,1628971932417
5,t02 check confirmation of receipt,10/21/2010 11:40:00,1.0,1628971932479,1628971932482
5,t03 adjust confirmation of receipt,10/21/2010 11:47:00,1.0,1628971932541,1628971932542
5,t02 check confirmation of receipt,10/21/2010 11:50:00,1.0,1628971932603,1628971932607
6,confirmation of receipt,10/22/2010 09:57:00,1.0,1628971932666,1628971932666
5,t02 check confirmation of receipt,10/22/2010 09:57:00,0.5,1628971932791,1628971932792
6,t02 check confirmation of receipt,10/22/2010 09:57:00,0.5,1628971932791,1628971932792
5,t04 determine confirmation of receipt,10/22/2010 09:58:00,0.5,1628971932791,1628971932792
6,t04 determine confirmation of receipt,10/22/2010 09:58:00,0.5,1628971932791,1628971932793
5,t05 print and send confirmation of receipt,10/22/2010 09:58:00,0.5517241379310345,1628971932918,1628971932922
5,t06 determine necessity of stop advice,10/22/2010 09:59:00,0.5517241379310345,1628971932918,1628971932922
7,confirmation of receipt,10/22/2010 11:17:00,1.0,1628971933043,1628971933043
5,t10 determine necessity to stop indication,10/22/2010 09:59:00,1.0,1628971933043,1628971933045
5,t06 determine necessity of stop advice,10/22/2010 11:23:00,0.5666666666666667,1628971933105,1628971933113
5,t02 check confirmation of receipt,10/22/2010 11:23:00,0.3333333333333333,1628971933230,1628971933234
6,t02 check confirmation of receipt,10/22/2010 11:23:00,0.3333333333333333,1628971933230,1628971933235
7,t02 check confirmation of receipt,10/22/2010 11:23:00,0.3333333333333333,1628971933230,1628971933235
5,t04 determine confirmation of receipt,10/22/2010 11:24:00,0.3333333333333333,1628971933230,1628971933235
6,t04 determine confirmation of receipt,10/22/2010 11:24:00,0.3333333333333333,1628971933230,1628971933235
7,t04 determine confirmation of receipt,10/22/2010 11:24:00,0.3333333333333333,1628971933230,1628971933235
5,t10 determine necessity to stop indication,10/22/2010 11:30:00,1.0,1628971933292,1628971933296
5,t05 print and send confirmation of receipt,10/22/2010 11:34:00,0.42857142857142855,1628971933355,1628971933360
6,t04 determine confirmation of receipt,10/22/2010 13:21:00,0.5,1628971933416,1628971933418
7,t04 determine confirmation of receipt,10/22/2010 13:21:00,0.5,1628971933416,1628971933418
8,confirmation of receipt,10/25/2010 15:57:00,1.0,1628971933542,1628971933542
9,confirmation of receipt,10/26/2010 09:18:00,1.0,1628971933667,1628971933667
8,t07-5 draft intern advice aspect 5,10/26/2010 09:38:00,0.5,1628971933731,1628971933735
9,t07-5 draft intern advice aspect 5,10/26/2010 09:38:00,0.5,1628971933731,1628971933736
8,t07-1 draft intern advice aspect 1,10/26/2010 09:39:00,0.5,1628971933791,1628971933794
9,t07-1 draft intern advice aspect 1,10/26/2010 09:39:00,0.5,1628971933791,1628971933795
8,t08 draft and send request for advice,10/26/2010 09:41:00,0.5,1628971933854,1628971933863
9,t08 draft and send request for advice,10/26/2010 09:41:00,0.5,1628971933854,1628971933863
8,t09-1 process or receive external advice from party 1,10/26/2010 09:42:00,0.5,1628971933917,1628971933926
9,t09-1 process or receive external advice from party 1,10/26/2010 09:42:00,0.5,1628971933917,1628971933927
10,confirmation of receipt,10/26/2010 09:45:00,1.0,1628971933980,1628971933980
11,confirmation of receipt,10/26/2010 10:47:00,1.0,1628971934042,1628971934042
12,confirmation of receipt,10/26/2010 11:03:00,1.0,1628971934104,1628971934104
13,confirmation of receipt,10/26/2010 15:28:00,1.0,1628971934292,1628971934292
8,t02 check confirmation of receipt,10/26/2010 15:51:00,0.35714285714285715,1628971934354,1628971934357
9,t02 check confirmation of receipt,10/26/2010 15:51:00,0.35714285714285715,1628971934354,1628971934357
8,t02 check confirmation of receipt,10/26/2010 15:52:00,0.35714285714285715,1628971934480,1628971934482
9,t02 check confirmation of receipt,10/26/2010 15:52:00,0.35714285714285715,1628971934480,1628971934482
14,confirmation of receipt,10/27/2010 08:59:00,1.0,1628971934606,1628971934606
8,t02 check confirmation of receipt,10/26/2010 15:52:00,0.35714285714285715,1628971934606,1628971934607
9,t02 check confirmation of receipt,10/26/2010 15:52:00,0.35714285714285715,1628971934606,1628971934607
14,t07-3 draft intern advice hold for aspect 3,10/27/2010 09:20:00,1.0,1628971934734,1628971934747
15,confirmation of receipt,10/27/2010 09:27:00,1.0,1628971934809,1628971934810
16,confirmation of receipt,11/01/2010 11:37:00,1.0,1628971935499,1628971935500
17,confirmation of receipt,11/01/2010 12:22:00,1.0,1628971935561,1628971935561
16,t02 check confirmation of receipt,11/01/2010 12:45:00,0.5,1628971935747,1628971935748
17,t02 check confirmation of receipt,11/01/2010 12:45:00,0.5,1628971935747,1628971935748
18,confirmation of receipt,11/01/2010 13:16:00,1.0,1628971935809,1628971935810
16,t04 determine confirmation of receipt,11/01/2010 13:39:00,0.3333333333333333,1628971935996,1628971935996
17,t04 determine confirmation of receipt,11/01/2010 13:39:00,0.3333333333333333,1628971935996,1628971935996
18,t04 determine confirmation of receipt,11/01/2010 13:39:00,0.3333333333333333,1628971935996,1628971935996
16,t02 check confirmation of receipt,11/01/2010 13:40:00,0.3333333333333333,1628971936059,1628971936061
17,t02 check confirmation of receipt,11/01/2010 13:40:00,0.3333333333333333,1628971936059,1628971936061
18,t02 check confirmation of receipt,11/01/2010 13:40:00,0.3333333333333333,1628971936059,1628971936062
19,confirmation of receipt,11/01/2010 13:46:00,1.0,1628971936123,1628971936123
16,t06 determine necessity of stop advice,11/01/2010 13:46:00,0.3333333333333333,1628971936251,1628971936252
20,confirmation of receipt,11/01/2010 14:55:00,1.0,1628971936376,1628971936376
16,t06 determine necessity of stop advice,11/01/2010 14:56:00,0.3333333333333333,1628971936439,1628971936444
16,t10 determine necessity to stop indication,11/01/2010 14:59:00,1.0,1628971936502,1628971936503
21,confirmation of receipt,11/01/2010 16:05:00,1.0,1628971936818,1628971936818
16,t10 determine necessity to stop indication,11/01/2010 16:06:00,1.0,1628971936943,1628971936944
16,t06 determine necessity of stop advice,11/01/2010 16:05:00,0.3333333333333333,1628971936943,1628971936944
22,confirmation of receipt,11/02/2010 08:32:00,1.0,1628971937070,1628971937070
16,t06 determine necessity of stop advice,11/02/2010 08:33:00,0.3333333333333333,1628971937133,1628971937139
16,t10 determine necessity to stop indication,11/02/2010 08:33:00,1.0,1628971937260,1628971937262
16,t06 determine necessity of stop advice,11/02/2010 11:38:00,0.3333333333333333,1628971937260,1628971937262
23,confirmation of receipt,11/02/2010 13:42:00,1.0,1628971937449,1628971937450
16,t10 determine necessity to stop indication,11/02/2010 13:46:00,1.0,1628971937575,1628971937575
16,t10 determine necessity to stop indication,11/02/2010 15:38:00,1.0,1628971937763,1628971937764
24,confirmation of receipt,11/03/2010 08:29:00,1.0,1628971937825,1628971937825
16,t10 determine necessity to stop indication,11/03/2010 08:34:00,1.0,1628971937950,1628971937951
23,t02 check confirmation of receipt,11/03/2010 08:43:00,0.5,1628971938013,1628971938013
24,t02 check confirmation of receipt,11/03/2010 08:43:00,0.5,1628971938013,1628971938013
23,t03 adjust confirmation of receipt,11/03/2010 08:52:00,0.5,1628971938075,1628971938077
24,t03 adjust confirmation of receipt,11/03/2010 08:52:00,0.5,1628971938075,1628971938077
25,confirmation of receipt,11/03/2010 08:58:00,1.0,1628971938137,1628971938137
16,t10 determine necessity to stop indication,11/03/2010 09:00:00,1.0,1628971938264,1628971938265
26,confirmation of receipt,11/03/2010 09:28:00,1.0,1628971938327,1628971938327
16,t10 determine necessity to stop indication,11/03/2010 09:29:00,1.0,1628971938513,1628971938515
24,t08 draft and send request for advice,11/03/2010 11:06:00,0.4,1628971938701,1628971938702
24,t07-5 draft intern advice aspect 5,11/03/2010 11:06:00,0.42857142857142855,1628971938826,1628971938833
24,t09-4 process or receive external advice from party 4,11/03/2010 11:07:00,1.0,1628971938826,1628971938833
16,t10 determine necessity to stop indication,11/03/2010 11:08:00,1.0,1628971938953,1628971938955
27,confirmation of receipt,11/03/2010 11:57:00,1.0,1628971939015,1628971939016
24,t02 check confirmation of receipt,11/03/2010 11:59:00,0.5,1628971939078,1628971939079
24,t04 determine confirmation of receipt,11/03/2010 12:00:00,0.5,1628971939141,1628971939143
28,confirmation of receipt,11/04/2010 09:33:00,1.0,1628971939268,1628971939268
24,t05 print and send confirmation of receipt,11/03/2010 12:00:00,1.0,1628971939268,1628971939269
24,t06 determine necessity of stop advice,11/04/2010 09:33:00,1.0,1628971939394,1628971939395
27,t07-4 draft internal advice to hold for type 4,11/04/2010 10:07:00,0.5,1628971939456,1628971939473
28,t07-4 draft internal advice to hold for type 4,11/04/2010 10:07:00,0.5,1628971939456,1628971939473
24,t07-2 draft intern advice aspect 2,11/04/2010 10:12:00,0.42857142857142855,1628971939535,1628971939552
24,t02 check confirmation of receipt,11/04/2010 10:34:00,0.5,1628971939615,1628971939618
24,t04 determine confirmation of receipt,11/04/2010 10:37:00,0.5,1628971939677,1628971939679
24,t02 check confirmation of receipt,11/04/2010 11:01:00,0.5,1628971939741,1628971939743
27,t02 check confirmation of receipt,11/04/2010 11:16:00,0.4,1628971939805,1628971939807
28,t02 check confirmation of receipt,11/04/2010 11:16:00,0.4,1628971939805,1628971939807
27,t02 check confirmation of receipt,11/04/2010 11:20:00,0.4,1628971939868,1628971939868
28,t02 check confirmation of receipt,11/04/2010 11:20:00,0.4,1628971939868,1628971939869
27,t02 check confirmation of receipt,11/04/2010 11:25:00,0.4,1628971939932,1628971939934
28,t02 check confirmation of receipt,11/04/2010 11:25:00,0.4,1628971939932,1628971939934
27,t02 check confirmation of receipt,11/04/2010 11:26:00,0.4,1628971939996,1628971939998
28,t02 check confirmation of receipt,11/04/2010 11:26:00,0.4,1628971939996,1628971939998
27,t02 check confirmation of receipt,11/04/2010 11:29:00,0.4,1628971940057,1628971940057
28,t02 check confirmation of receipt,11/04/2010 11:29:00,0.4,1628971940057,1628971940057
27,t02 check confirmation of receipt,11/04/2010 11:33:00,0.4,1628971940119,1628971940121
28,t02 check confirmation of receipt,11/04/2010 11:33:00,0.4,1628971940119,1628971940121
29,confirmation of receipt,11/04/2010 11:42:00,1.0,1628971940181,1628971940181
24,t06 determine necessity of stop advice,11/04/2010 11:44:00,1.0,1628971940242,1628971940247
24,t10 determine necessity to stop indication,11/04/2010 11:45:00,1.0,1628971940305,1628971940307
28,t02 check confirmation of receipt,11/04/2010 12:23:00,0.4,1628971940369,1628971940371
28,t02 check confirmation of receipt,11/04/2010 12:24:00,0.4,1628971940431,1628971940434
