CaseID,Activity,Timestamp,Probability,initTime,sysTime
1,confirmation of receipt,10/02/2010 09:20:00,1.0,1627738822000,1627738822000
1,t02 check confirmation of receipt,10/02/2010 09:21:00,1.0,1627738822016,1627738822016
1,t03 adjust confirmation of receipt,10/02/2010 09:31:00,1.0,1627738822032,1627738822032
1,t03 adjust confirmation of receipt,10/02/2010 09:32:00,1.0,1627738822063,1627738822063
1,t02 check confirmation of receipt,10/02/2010 09:31:00,1.0,1627738822063,1627738822063
2,confirmation of receipt,10/05/2010 08:32:00,1.0,1627738822079,1627738822079
2,t02 check confirmation of receipt,10/05/2010 09:31:00,1.0,1627738822110,1627738822110
2,t07-1 draft intern advice aspect 1,10/05/2010 09:32:00,1.0,1627738822125,1627738822125
2,t04 determine confirmation of receipt,10/05/2010 10:44:00,1.0,1627738822172,1627738822188
3,confirmation of receipt,10/05/2010 13:01:00,1.0,1627738822204,1627738822204
2,t06 determine necessity of stop advice,10/05/2010 13:07:00,1.0,1627738822219,1627738822219
2,t10 determine necessity to stop indication,10/05/2010 13:08:00,1.0,1627738822235,1627738822235
2,t02 check confirmation of receipt,10/05/2010 15:03:00,0.6666666666666666,1627738822251,1627738822251
3,t02 check confirmation of receipt,10/05/2010 15:03:00,0.3333333333333333,1627738822251,1627738822251
2,t05 print and send confirmation of receipt,10/05/2010 15:16:00,1.0,1627738822266,1627738822266
2,t03 adjust confirmation of receipt,10/05/2010 15:22:00,0.6666666666666666,1627738822282,1627738822283
3,t03 adjust confirmation of receipt,10/05/2010 15:22:00,0.3333333333333333,1627738822282,1627738822283
2,t02 check confirmation of receipt,10/05/2010 15:26:00,0.6,1627738822299,1627738822299
3,t02 check confirmation of receipt,10/05/2010 15:26:00,0.4,1627738822299,1627738822299
2,t04 determine confirmation of receipt,10/06/2010 09:12:00,0.5,1627738822315,1627738822315
3,t04 determine confirmation of receipt,10/06/2010 09:12:00,0.5,1627738822315,1627738822315
4,confirmation of receipt,10/18/2010 09:24:00,1.0,1627738822346,1627738822346
4,t02 check confirmation of receipt,10/18/2010 11:25:00,1.0,1627738822377,1627738822377
4,t03 adjust confirmation of receipt,10/18/2010 12:27:00,1.0,1627738822393,1627738822393
5,confirmation of receipt,10/20/2010 12:56:00,1.0,1627738822424,1627738822424
5,t02 check confirmation of receipt,10/20/2010 12:57:00,1.0,1627738822440,1627738822440
5,t04 determine confirmation of receipt,10/20/2010 12:58:00,1.0,1627738822455,1627738822456
5,t05 print and send confirmation of receipt,10/20/2010 12:59:00,1.0,1627738822473,1627738822473
5,t06 determine necessity of stop advice,10/20/2010 13:02:00,1.0,1627738822489,1627738822489
5,t07-5 draft intern advice aspect 5,10/21/2010 08:14:00,1.0,1627738822504,1627738822504
5,t06 determine necessity of stop advice,10/21/2010 08:36:00,1.0,1627738822520,1627738822520
5,t10 determine necessity to stop indication,10/21/2010 08:37:00,1.0,1627738822536,1627738822536
5,t03 adjust confirmation of receipt,10/21/2010 09:23:00,1.0,1627738822551,1627738822551
5,t02 check confirmation of receipt,10/21/2010 11:40:00,1.0,1627738822567,1627738822567
5,t03 adjust confirmation of receipt,10/21/2010 11:47:00,1.0,1627738822583,1627738822583
5,t02 check confirmation of receipt,10/21/2010 11:50:00,1.0,1627738822598,1627738822598
6,confirmation of receipt,10/22/2010 09:57:00,1.0,1627738822614,1627738822614
5,t02 check confirmation of receipt,10/22/2010 09:57:00,0.5,1627738822645,1627738822645
6,t02 check confirmation of receipt,10/22/2010 09:57:00,0.5,1627738822645,1627738822645
5,t04 determine confirmation of receipt,10/22/2010 09:58:00,0.5,1627738822645,1627738822645
6,t04 determine confirmation of receipt,10/22/2010 09:58:00,0.5,1627738822645,1627738822645
5,t05 print and send confirmation of receipt,10/22/2010 09:58:00,0.5517241379310345,1627738822678,1627738822678
5,t06 determine necessity of stop advice,10/22/2010 09:59:00,0.5517241379310345,1627738822678,1627738822678
7,confirmation of receipt,10/22/2010 11:17:00,1.0,1627738822709,1627738822709
5,t10 determine necessity to stop indication,10/22/2010 09:59:00,1.0,1627738822709,1627738822709
5,t06 determine necessity of stop advice,10/22/2010 11:23:00,0.5666666666666667,1627738822725,1627738822725
5,t02 check confirmation of receipt,10/22/2010 11:23:00,0.3333333333333333,1627738822756,1627738822756
6,t02 check confirmation of receipt,10/22/2010 11:23:00,0.3333333333333333,1627738822756,1627738822756
7,t02 check confirmation of receipt,10/22/2010 11:23:00,0.3333333333333333,1627738822756,1627738822756
5,t04 determine confirmation of receipt,10/22/2010 11:24:00,0.3333333333333333,1627738822756,1627738822756
6,t04 determine confirmation of receipt,10/22/2010 11:24:00,0.3333333333333333,1627738822756,1627738822756
7,t04 determine confirmation of receipt,10/22/2010 11:24:00,0.3333333333333333,1627738822756,1627738822756
5,t10 determine necessity to stop indication,10/22/2010 11:30:00,1.0,1627738822772,1627738822772
5,t05 print and send confirmation of receipt,10/22/2010 11:34:00,0.42857142857142855,1627738822787,1627738822787
6,t04 determine confirmation of receipt,10/22/2010 13:21:00,0.5,1627738822804,1627738822806
7,t04 determine confirmation of receipt,10/22/2010 13:21:00,0.5,1627738822804,1627738822806
8,confirmation of receipt,10/25/2010 15:57:00,1.0,1627738822844,1627738822844
