CaseID,Activity,Timestamp,Probability,initTime,sysTime
1,1,a,11/28/2016 21:30:00,1.0,1621269773798,1621269773800
2,1,d,11/28/2016 21:31:00,1.0,1621269773846,1621269773851
3,2,a,11/28/2016 21:31:00,1.0,1621269773893,1621269773893
4,3,a,11/28/2016 21:32:00,1.0,1621269773925,1621269773925
7,4,a,11/28/2016 21:32:00,1.0,1621269774019,1621269774019
8,5,a,11/28/2016 21:32:00,1.0,1621269774050,1621269774050
9,3,d,11/28/2016 21:33:00,0.3333333333333333,1621269774082,1621269774091
9,4,d,11/28/2016 21:33:00,0.3333333333333333,1621269774082,1621269774091
9,5,d,11/28/2016 21:33:00,0.3333333333333333,1621269774082,1621269774091
6,2,d,11/28/2016 21:32:00,1.0,1621269774082,1621269774092
5,1,b,11/28/2016 21:32:00,1.0,1621269774082,1621269774093
14,6,a,11/28/2016 21:33:00,1.0,1621269774300,1621269774300
12,3,d,11/28/2016 21:33:00,0.3333333333333333,1621269774346,1621269774367
12,4,d,11/28/2016 21:33:00,0.3333333333333333,1621269774346,1621269774368
12,5,d,11/28/2016 21:33:00,0.3333333333333333,1621269774346,1621269774368
13,3,d,11/28/2016 21:33:00,0.3333333333333333,1621269774346,1621269774369
13,4,d,11/28/2016 21:33:00,0.3333333333333333,1621269774346,1621269774369
15,3,b,11/28/2016 21:34:00,0.3333333333333333,1621269774346,1621269774370
15,4,b,11/28/2016 21:34:00,0.3333333333333333,1621269774346,1621269774370
15,5,b,11/28/2016 21:34:00,0.3333333333333333,1621269774346,1621269774370
11,2,b,11/28/2016 21:33:00,1.0,1621269774346,1621269774370
10,1,e,11/28/2016 21:33:00,1.0,1621269774346,1621269774373
16,6,d,11/28/2016 21:34:00,0.5,1621269774580,1621269774583
16,1,d,11/28/2016 21:34:00,0.5,1621269774580,1621269774583
19,6,d,11/28/2016 21:34:00,0.5,1621269774580,1621269774583
19,1,d,11/28/2016 21:34:00,0.5,1621269774580,1621269774583
17,3,b,11/28/2016 21:34:00,0.375,1621269774580,1621269774583
17,4,b,11/28/2016 21:34:00,0.375,1621269774580,1621269774583
17,5,b,11/28/2016 21:34:00,0.25,1621269774580,1621269774583
17,3,b,11/28/2016 21:34:00,0.375,1621269774580,1621269774583
20,3,e,11/28/2016 21:35:00,0.3333333333333333,1621269774580,1621269774583
20,4,e,11/28/2016 21:35:00,0.3333333333333333,1621269774580,1621269774584
20,5,e,11/28/2016 21:35:00,0.3333333333333333,1621269774580,1621269774584
22,7,a,11/28/2016 21:35:00,1.0,1621269774672,1621269774672
24,8,a,11/28/2016 21:35:00,1.0,1621269774750,1621269774750
28,9,a,11/28/2016 21:36:00,1.0,1621269774938,1621269774939
21,6,b,11/28/2016 21:35:00,0.5,1621269774938,1621269774958
21,1,b,11/28/2016 21:35:00,0.5,1621269774938,1621269774958
27,6,b,11/28/2016 21:35:00,0.5,1621269774938,1621269774959
23,2,c,11/28/2016 21:35:00,1.0,1621269774938,1621269774962
25,3,e,11/28/2016 21:35:00,0.42857142857142855,1621269774938,1621269774962
25,4,e,11/28/2016 21:35:00,0.2857142857142857,1621269774938,1621269774962
25,5,e,11/28/2016 21:35:00,0.2857142857142857,1621269774938,1621269774963
29,10,a,11/28/2016 21:36:00,1.0,1621269775000,1621269775000
31,11,a,11/28/2016 21:36:00,1.0,1621269775062,1621269775062
39,9,d,11/28/2016 21:37:00,0.3333333333333333,1621269775362,1621269775381
39,10,d,11/28/2016 21:37:00,0.3333333333333333,1621269775362,1621269775381
39,11,d,11/28/2016 21:37:00,0.3333333333333333,1621269775362,1621269775381
30,3,d,11/28/2016 21:36:00,0.25,1621269775362,1621269775381
30,4,d,11/28/2016 21:36:00,0.25,1621269775362,1621269775381
32,6,e,11/28/2016 21:36:00,0.6666666666666666,1621269775362,1621269775381
32,1,e,11/28/2016 21:36:00,0.3333333333333333,1621269775362,1621269775382
38,6,e,11/28/2016 21:36:00,0.6666666666666666,1621269775362,1621269775382
38,1,e,11/28/2016 21:36:00,0.3333333333333333,1621269775362,1621269775382
34,2,g,11/28/2016 21:36:00,1.0,1621269775362,1621269775385
40,9,d,11/28/2016 21:37:00,0.14285714285714285,1621269775783,1621269775787
40,10,d,11/28/2016 21:37:00,0.14285714285714285,1621269775783,1621269775787
40,11,d,11/28/2016 21:37:00,0.14285714285714285,1621269775783,1621269775787
40,6,d,11/28/2016 21:37:00,0.2857142857142857,1621269775783,1621269775787
40,1,d,11/28/2016 21:37:00,0.2857142857142857,1621269775783,1621269775787
50,9,b,11/28/2016 21:38:00,0.3333333333333333,1621269775783,1621269775788
50,10,b,11/28/2016 21:38:00,0.3333333333333333,1621269775783,1621269775788
50,11,b,11/28/2016 21:38:00,0.3333333333333333,1621269775783,1621269775788
41,3,b,11/28/2016 21:37:00,0.5,1621269775783,1621269775788
41,4,b,11/28/2016 21:37:00,0.5,1621269775783,1621269775788
45,2,h,11/28/2016 21:37:00,1.0,1621269775783,1621269775789
59,12,a,11/28/2016 21:39:00,1.0,1621269776141,1621269776142
51,9,b,11/28/2016 21:38:00,0.25,1621269776141,1621269776150
51,10,b,11/28/2016 21:38:00,0.25,1621269776141,1621269776150
51,11,b,11/28/2016 21:38:00,0.25,1621269776141,1621269776151
52,3,e,11/28/2016 21:38:00,0.5,1621269776141,1621269776151
52,4,e,11/28/2016 21:38:00,0.5,1621269776141,1621269776152
55,3,e,11/28/2016 21:38:00,0.5,1621269776141,1621269776152
55,4,e,11/28/2016 21:38:00,0.5,1621269776141,1621269776152
56,3,e,11/28/2016 21:38:00,0.5,1621269776141,1621269776152
61,13,a,11/28/2016 21:39:00,1.0,1621269776219,1621269776220
64,14,a,11/28/2016 21:39:00,1.0,1621269776343,1621269776343
69,12,d,11/28/2016 21:40:00,0.3333333333333333,1621269776529,1621269776531
69,13,d,11/28/2016 21:40:00,0.3333333333333333,1621269776529,1621269776531
69,14,d,11/28/2016 21:40:00,0.3333333333333333,1621269776529,1621269776531
62,3,d,11/28/2016 21:39:00,0.6,1621269776529,1621269776531
62,4,d,11/28/2016 21:39:00,0.4,1621269776529,1621269776531
66,3,c,11/28/2016 21:39:00,0.5,1621269776529,1621269776531
66,4,c,11/28/2016 21:39:00,0.5,1621269776529,1621269776532
60,9,e,11/28/2016 21:39:00,0.3333333333333333,1621269776529,1621269776532
60,10,e,11/28/2016 21:39:00,0.3333333333333333,1621269776529,1621269776532
60,11,e,11/28/2016 21:39:00,0.3333333333333333,1621269776529,1621269776532
75,15,a,11/28/2016 21:40:00,1.0,1621269776793,1621269776793
71,12,d,11/28/2016 21:40:00,0.16666666666666666,1621269777060,1621269777079
71,13,d,11/28/2016 21:40:00,0.16666666666666666,1621269777060,1621269777080
71,14,d,11/28/2016 21:40:00,0.16666666666666666,1621269777060,1621269777080
71,9,d,11/28/2016 21:40:00,0.16666666666666666,1621269777060,1621269777080
71,10,d,11/28/2016 21:40:00,0.16666666666666666,1621269777060,1621269777080
83,12,b,11/28/2016 21:41:00,0.3333333333333333,1621269777060,1621269777080
83,13,b,11/28/2016 21:41:00,0.3333333333333333,1621269777060,1621269777080
83,14,b,11/28/2016 21:41:00,0.3333333333333333,1621269777060,1621269777080
73,3,b,11/28/2016 21:40:00,0.5,1621269777060,1621269777080
73,4,b,11/28/2016 21:40:00,0.5,1621269777060,1621269777080
70,9,f,11/28/2016 21:40:00,0.3333333333333333,1621269777060,1621269777082
70,10,f,11/28/2016 21:40:00,0.3333333333333333,1621269777060,1621269777083
70,11,f,11/28/2016 21:40:00,0.3333333333333333,1621269777060,1621269777083
79,3,g,11/28/2016 21:40:00,0.5,1621269777060,1621269777083
79,4,g,11/28/2016 21:40:00,0.5,1621269777060,1621269777083
89,15,d,11/28/2016 21:41:00,1.0,1621269777527,1621269777531
85,12,b,11/28/2016 21:41:00,0.25,1621269777527,1621269777531
85,13,b,11/28/2016 21:41:00,0.25,1621269777527,1621269777531
85,14,b,11/28/2016 21:41:00,0.25,1621269777527,1621269777531
96,12,e,11/28/2016 21:42:00,0.3333333333333333,1621269777527,1621269777531
96,13,e,11/28/2016 21:42:00,0.3333333333333333,1621269777527,1621269777531
96,14,e,11/28/2016 21:42:00,0.3333333333333333,1621269777527,1621269777531
87,3,e,11/28/2016 21:41:00,0.5,1621269777527,1621269777531
87,4,e,11/28/2016 21:41:00,0.5,1621269777527,1621269777531
84,9,h,11/28/2016 21:41:00,0.2,1621269777527,1621269777531
84,10,h,11/28/2016 21:41:00,0.2,1621269777527,1621269777531
84,11,h,11/28/2016 21:41:00,0.2,1621269777527,1621269777532
84,3,h,11/28/2016 21:41:00,0.2,1621269777527,1621269777532
84,4,h,11/28/2016 21:41:00,0.2,1621269777527,1621269777532
103,12,d,11/28/2016 21:43:00,0.3333333333333333,1621269777762,1621269777766
103,13,d,11/28/2016 21:43:00,0.3333333333333333,1621269777762,1621269777766
103,14,d,11/28/2016 21:43:00,0.3333333333333333,1621269777762,1621269777766
97,3,d,11/28/2016 21:42:00,0.5,1621269777762,1621269777766
97,4,d,11/28/2016 21:42:00,0.5,1621269777762,1621269777766
99,15,b,11/28/2016 21:42:00,1.0,1621269777762,1621269777766
98,12,e,11/28/2016 21:42:00,0.3333333333333333,1621269777762,1621269777766
98,13,e,11/28/2016 21:42:00,0.3333333333333333,1621269777762,1621269777766
98,14,e,11/28/2016 21:42:00,0.3333333333333333,1621269777762,1621269777766
100,3,f,11/28/2016 21:42:00,0.5,1621269777762,1621269777767
100,4,f,11/28/2016 21:42:00,0.5,1621269777762,1621269777767
107,12,d,11/28/2016 21:43:00,0.3333333333333333,1621269778087,1621269778093
107,13,d,11/28/2016 21:43:00,0.3333333333333333,1621269778087,1621269778093
107,14,d,11/28/2016 21:43:00,0.3333333333333333,1621269778087,1621269778093
112,12,b,11/28/2016 21:44:00,0.3333333333333333,1621269778087,1621269778093
112,13,b,11/28/2016 21:44:00,0.3333333333333333,1621269778087,1621269778093
112,14,b,11/28/2016 21:44:00,0.3333333333333333,1621269778087,1621269778093
106,3,b,11/28/2016 21:43:00,0.5,1621269778087,1621269778093
106,4,b,11/28/2016 21:43:00,0.5,1621269778087,1621269778093
104,12,f,11/28/2016 21:43:00,0.3333333333333333,1621269778087,1621269778093
104,13,f,11/28/2016 21:43:00,0.3333333333333333,1621269778087,1621269778094
104,14,f,11/28/2016 21:43:00,0.3333333333333333,1621269778087,1621269778094
109,3,h,11/28/2016 21:43:00,0.5,1621269778087,1621269778094
109,4,h,11/28/2016 21:43:00,0.5,1621269778087,1621269778094
