EventID,CaseID,Activity,Timestamp,Probability,initTime,sysTime
1,1,a,11/28/2016 21:30:00,1.0,1621280366683,1621280366686
3,2,a,11/28/2016 21:31:00,1.0,1621280366762,1621280366762
4,3,a,11/28/2016 21:32:00,1.0,1621280366794,1621280366794
7,4,a,11/28/2016 21:32:00,1.0,1621280366890,1621280366890
8,5,a,11/28/2016 21:32:00,1.0,1621280366922,1621280366922
14,6,a,11/28/2016 21:33:00,1.0,1621280367113,1621280367113
22,7,a,11/28/2016 21:35:00,1.0,1621280367370,1621280367371
24,8,a,11/28/2016 21:35:00,1.0,1621280367448,1621280367448
28,9,a,11/28/2016 21:36:00,1.0,1621280367588,1621280367588
29,10,a,11/28/2016 21:36:00,1.0,1621280367621,1621280367621
31,11,a,11/28/2016 21:36:00,1.0,1621280367713,1621280367714
59,12,a,11/28/2016 21:39:00,1.0,1621280368638,1621280368638
61,13,a,11/28/2016 21:39:00,1.0,1621280368714,1621280368715
64,14,a,11/28/2016 21:39:00,1.0,1621280368838,1621280368839
75,15,a,11/28/2016 21:40:00,1.0,1621280369228,1621280369228
124,16,a,11/28/2016 21:46:00,1.0,1621280370829,1621280370830
128,17,a,11/28/2016 21:46:00,1.0,1621280370971,1621280370972
133,18,a,11/28/2016 21:47:00,1.0,1621280371141,1621280371141
137,19,a,11/28/2016 21:47:00,1.0,1621280371266,1621280371266
141,20,a,11/28/2016 21:48:00,1.0,1621280371391,1621280371391
146,21,a,11/28/2016 21:49:00,1.0,1621280371576,1621280371576
147,22,a,11/28/2016 21:49:00,1.0,1621280371608,1621280371608
151,23,a,11/28/2016 21:49:00,1.0,1621280371748,1621280371748
162,24,a,11/28/2016 21:50:00,1.0,1621280372093,1621280372094
192,25,a,11/28/2016 21:55:00,1.0,1621280373062,1621280373062
206,26,a,11/28/2016 21:57:00,1.0,1621280373533,1621280373533
207,27,a,11/28/2016 21:57:00,1.0,1621280373564,1621280373564
215,28,a,11/28/2016 21:59:00,1.0,1621280373815,1621280373816
219,29,a,11/28/2016 22:00:00,1.0,1621280373941,1621280373941
221,30,a,11/28/2016 22:01:00,1.0,1621280374004,1621280374004
226,31,a,11/28/2016 22:01:00,1.0,1621280374162,1621280374162
231,32,a,11/28/2016 22:02:00,1.0,1621280374318,1621280374318
232,33,a,11/28/2016 22:02:00,1.0,1621280374349,1621280374349
246,34,a,11/28/2016 22:04:00,1.0,1621280374786,1621280374786
260,35,a,11/28/2016 22:06:00,1.0,1621280375241,1621280375241
274,36,a,11/28/2016 22:09:00,1.0,1621280375681,1621280375681
