EventID,CaseID,Activity,Timestamp,Probability,initTime,sysTime
1,1,a,11/28/2016 21:30,1,1.62128E+12,1.62128E+12
3,2,a,11/28/2016 21:31,1,1.62128E+12,1.62128E+12
4,3,a,11/28/2016 21:32,1,1.62128E+12,1.62128E+12
7,4,a,11/28/2016 21:32,1,1.62128E+12,1.62128E+12
8,5,a,11/28/2016 21:32,1,1.62128E+12,1.62128E+12
14,6,a,11/28/2016 21:33,1,1.62128E+12,1.62128E+12
22,7,a,11/28/2016 21:35,1,1.62128E+12,1.62128E+12
24,8,a,11/28/2016 21:35,1,1.62128E+12,1.62128E+12
28,9,a,11/28/2016 21:36,1,1.62128E+12,1.62128E+12
29,10,a,11/28/2016 21:36,1,1.62128E+12,1.62128E+12
31,11,a,11/28/2016 21:36,1,1.62128E+12,1.62128E+12
59,12,a,11/28/2016 21:39,1,1.62128E+12,1.62128E+12
61,13,a,11/28/2016 21:39,1,1.62128E+12,1.62128E+12
64,14,a,11/28/2016 21:39,1,1.62128E+12,1.62128E+12
75,15,a,11/28/2016 21:40,1,1.62128E+12,1.62128E+12
124,16,a,11/28/2016 21:46,1,1.62128E+12,1.62128E+12
128,17,a,11/28/2016 21:46,1,1.62128E+12,1.62128E+12
133,18,a,11/28/2016 21:47,1,1.62128E+12,1.62128E+12
137,19,a,11/28/2016 21:47,1,1.62128E+12,1.62128E+12
141,20,a,11/28/2016 21:48,1,1.62128E+12,1.62128E+12
146,21,a,11/28/2016 21:49,1,1.62128E+12,1.62128E+12
147,22,a,11/28/2016 21:49,1,1.62128E+12,1.62128E+12
151,23,a,11/28/2016 21:49,1,1.62128E+12,1.62128E+12
162,24,a,11/28/2016 21:50,1,1.62128E+12,1.62128E+12
192,25,a,11/28/2016 21:55,1,1.62128E+12,1.62128E+12
206,26,a,11/28/2016 21:57,1,1.62128E+12,1.62128E+12
207,27,a,11/28/2016 21:57,1,1.62128E+12,1.62128E+12
215,28,a,11/28/2016 21:59,1,1.62128E+12,1.62128E+12
219,29,a,11/28/2016 22:00,1,1.62128E+12,1.62128E+12
221,30,a,11/28/2016 22:01,1,1.62128E+12,1.62128E+12
226,31,a,11/28/2016 22:01,1,1.62128E+12,1.62128E+12
231,32,a,11/28/2016 22:02,1,1.62128E+12,1.62128E+12
232,33,a,11/28/2016 22:02,1,1.62128E+12,1.62128E+12
246,34,a,11/28/2016 22:04,1,1.62128E+12,1.62128E+12
260,35,a,11/28/2016 22:06,1,1.62128E+12,1.62128E+12
274,36,a,11/28/2016 22:09,1,1.62128E+12,1.62128E+12
282,37,a,11/28/2016 22:11,1,1.62128E+12,1.62128E+12
285,38,a,11/28/2016 22:12,1,1.62128E+12,1.62128E+12
286,39,a,11/28/2016 22:12,1,1.62128E+12,1.62128E+12
289,40,a,11/28/2016 22:12,1,1.62128E+12,1.62128E+12
294,41,a,11/28/2016 22:13,1,1.62128E+12,1.62128E+12
296,42,a,11/28/2016 22:13,1,1.62128E+12,1.62128E+12
299,43,a,11/28/2016 22:14,1,1.62128E+12,1.62128E+12
302,44,a,11/28/2016 22:14,1,1.62128E+12,1.62128E+12
309,45,a,11/28/2016 22:15,1,1.62128E+12,1.62128E+12
346,46,a,11/28/2016 22:20,1,1.62128E+12,1.62128E+12
352,47,a,11/28/2016 22:20,1,1.62128E+12,1.62128E+12
353,48,a,11/28/2016 22:20,1,1.62128E+12,1.62128E+12
357,49,a,11/28/2016 22:21,1,1.62128E+12,1.62128E+12
360,50,a,11/28/2016 22:21,1,1.62128E+12,1.62128E+12
370,51,a,11/28/2016 22:22,1,1.62128E+12,1.62128E+12
379,52,a,11/28/2016 22:23,1,1.62128E+12,1.62128E+12
